time,irradiance,sun_height_angle,air_temperature,wind_speed_10m
2022-01-01 00:00:00,0.0,0.0,3.66,1.52
2022-01-01 01:00:00,0.0,0.0,3.11,1.52
2022-01-01 02:00:00,0.0,0.0,2.77,1.52
2022-01-01 03:00:00,0.0,0.0,2.52,1.52
2022-01-01 04:00:00,0.0,0.0,2.25,1.59
2022-01-01 05:00:00,0.0,0.0,1.98,1.59
2022-01-01 06:00:00,0.0,0.0,1.74,1.66
2022-01-01 07:00:00,0.0,0.0,0.87,1.52
2022-01-01 08:00:00,301.17,4.31,0.98,1.45
2022-01-01 09:00:00,647.68,12.95,3.42,1.1
2022-01-01 10:00:00,1017.95,19.92,7.97,0.97
2022-01-01 11:00:00,838.38,24.62,11.48,0.83
2022-01-01 12:00:00,1051.56,26.55,13.84,0.55
2022-01-01 13:00:00,955.81,25.44,15.34,0.21
2022-01-01 14:00:00,962.05,21.45,16.12,0.0
2022-01-01 15:00:00,862.96,15.04,16.21,0.14
2022-01-01 16:00:00,704.74,6.8,15.58,0.48
2022-01-01 17:00:00,0.0,0.0,14.5,0.48
2022-01-01 18:00:00,0.0,0.0,13.31,0.21
2022-01-01 19:00:00,0.0,0.0,11.93,0.62
2022-01-01 20:00:00,0.0,0.0,10.46,0.97
2022-01-01 21:00:00,0.0,0.0,9.24,1.1
2022-01-01 22:00:00,0.0,0.0,8.72,1.03
2022-01-01 23:00:00,0.0,0.0,8.27,1.03
2022-01-02 00:00:00,0.0,0.0,7.53,1.1
2022-01-02 01:00:00,0.0,0.0,6.65,1.1
2022-01-02 02:00:00,0.0,0.0,5.72,1.17
2022-01-02 03:00:00,0.0,0.0,5.19,1.24
2022-01-02 04:00:00,0.0,0.0,4.56,1.24
2022-01-02 05:00:00,0.0,0.0,4.07,1.31
2022-01-02 06:00:00,0.0,0.0,3.79,1.31
2022-01-02 07:00:00,0.0,0.0,2.73,1.38
2022-01-02 08:00:00,12.57,4.3,2.87,1.31
2022-01-02 09:00:00,743.46,12.97,4.93,0.83
2022-01-02 10:00:00,535.34,19.95,7.63,0.41
2022-01-02 11:00:00,506.1,24.68,10.31,0.41
2022-01-02 12:00:00,1079.55,26.63,12.28,0.55
2022-01-02 13:00:00,618.56,25.55,13.37,0.69
2022-01-02 14:00:00,610.46,21.57,14.22,0.83
2022-01-02 15:00:00,865.04,15.17,14.38,0.9
2022-01-02 16:00:00,567.67,6.93,13.77,0.97
2022-01-02 17:00:00,0.0,0.0,12.2,1.24
2022-01-02 18:00:00,0.0,0.0,10.83,0.97
2022-01-02 19:00:00,0.0,0.0,10.77,0.41
2022-01-02 20:00:00,0.0,0.0,9.8,0.48
2022-01-02 21:00:00,0.0,0.0,8.94,0.76
2022-01-02 22:00:00,0.0,0.0,8.07,0.9
2022-01-02 23:00:00,0.0,0.0,5.58,1.52
2022-01-03 00:00:00,0.0,0.0,4.29,1.59
2022-01-03 01:00:00,0.0,0.0,4.53,1.24
2022-01-03 02:00:00,0.0,0.0,4.23,1.24
2022-01-03 03:00:00,0.0,0.0,3.37,1.38
2022-01-03 04:00:00,0.0,0.0,3.02,1.31
2022-01-03 05:00:00,0.0,0.0,2.83,1.24
2022-01-03 06:00:00,0.0,0.0,2.74,1.24
2022-01-03 07:00:00,0.0,0.0,2.17,1.1
2022-01-03 08:00:00,143.12,4.3,2.25,1.03
2022-01-03 09:00:00,589.25,12.98,4.24,0.41
2022-01-03 10:00:00,850.09,19.99,7.08,0.34
