datetime,Solar Generation,irradiance,sun_height_angle,air_temperature
2022-01-01 00:00:00,0.075,301.17,4.31,3.66
2022-01-01 01:00:00,0.075,301.17,4.31,3.11
2022-01-01 02:00:00,0.075,301.17,4.31,2.77
2022-01-01 03:00:00,0.075,301.17,4.31,2.52
2022-01-01 04:00:00,0.075,301.17,4.31,2.25
2022-01-01 05:00:00,0.075,301.17,4.31,1.98
2022-01-01 06:00:00,0.075,301.17,4.31,1.74
2022-01-01 07:00:00,0.075,301.17,4.31,0.87
2022-01-01 08:00:00,0.144,301.17,4.31,0.98
2022-01-01 09:00:00,2.024,647.68,12.95,3.42
2022-01-01 10:00:00,5.22,1017.95,19.92,7.97
2022-01-01 11:00:00,7.033,838.38,24.62,11.48
2022-01-01 12:00:00,7.564,1051.56,26.55,13.84
2022-01-01 13:00:00,7.514,955.81,25.44,15.34
2022-01-01 14:00:00,7.338,962.05,21.45,16.12
2022-01-01 15:00:00,6.789,862.96,15.04,16.21
2022-01-01 16:00:00,4.763,704.74,6.8,15.58
2022-01-01 17:00:00,1.679,661.479375,6.64375,14.5
2022-01-01 18:00:00,0.27,618.21875,6.4875,13.31
2022-01-01 19:00:00,0.145,574.958125,6.33125,11.93
2022-01-01 20:00:00,0.129,531.6975,6.175,10.46
2022-01-01 21:00:00,0.078,488.436875,6.01875,9.24
2022-01-01 22:00:00,0.049,445.17625000000004,5.8625,8.72
2022-01-01 23:00:00,0.014,445.17625000000004,5.8625,8.27
2022-01-02 00:00:00,0.0145,445.17625000000004,5.8625,7.53
2022-01-02 01:00:00,0.015,445.17625000000004,5.8625,6.65
2022-01-02 02:00:00,0.005,445.17625000000004,5.8625,5.72
2022-01-02 03:00:00,0.005,445.17625000000004,5.8625,5.19
2022-01-02 04:00:00,0.005,445.17625000000004,5.8625,4.56
2022-01-02 05:00:00,0.005,445.17625000000004,5.8625,4.07
2022-01-02 06:00:00,0.005,445.17625000000004,5.8625,3.79
2022-01-02 07:00:00,0.005,445.17625000000004,5.8625,2.73
2022-01-02 08:00:00,0.088,12.57,4.3,2.87
2022-01-02 09:00:00,1.62,743.46,12.97,4.93
2022-01-02 10:00:00,4.216,535.34,19.95,7.63
2022-01-02 11:00:00,5.885,506.1,24.68,10.31
2022-01-02 12:00:00,6.655,1079.55,26.63,12.28
2022-01-02 13:00:00,6.915,618.56,25.55,13.37
2022-01-02 14:00:00,6.868,610.46,21.57,14.22
2022-01-02 15:00:00,6.554,865.04,15.17,14.38
2022-01-02 16:00:00,4.749,567.67,6.93,13.77
2022-01-02 17:00:00,1.651,541.135625,6.765625,12.2
2022-01-02 18:00:00,0.167,514.6012499999999,6.601249999999999,10.83
2022-01-02 19:00:00,0.064,488.066875,6.436875,10.77
2022-01-02 20:00:00,0.064,461.53249999999997,6.2725,9.8
2022-01-02 21:00:00,0.063,434.99812499999996,6.108124999999999,8.94
2022-01-02 22:00:00,0.045,408.46375,5.94375,8.07
2022-01-02 23:00:00,0.04,408.46375,5.94375,5.58
2022-01-03 00:00:00,0.04,408.46375,5.94375,4.29
2022-01-03 01:00:00,0.04,408.46375,5.94375,4.53
2022-01-03 02:00:00,0.04,408.46375,5.94375,4.23
2022-01-03 03:00:00,0.04,408.46375,5.94375,3.37
2022-01-03 04:00:00,0.04,408.46375,5.94375,3.02
2022-01-03 05:00:00,0.04,408.46375,5.94375,2.83
2022-01-03 06:00:00,0.04,408.46375,5.94375,2.74
2022-01-03 07:00:00,0.04,408.46375,5.94375,2.17
2022-01-03 08:00:00,0.111,143.12,4.3,2.25
2022-01-03 09:00:00,1.863,589.25,12.98,4.24
2022-01-03 10:00:00,5.024,850.09,19.99,7.08
2022-01-03 11:00:00,6.78,1014.96,24.75,9.58
2022-01-03 12:00:00,7.405,991.11,26.72,11.38
2022-01-03 13:00:00,7.557,1004.2,25.66,12.69
2022-01-03 14:00:00,7.652,975.14,21.69,13.42
2022-01-03 15:00:00,7.379,842.89,15.3,13.59
2022-01-03 16:00:00,5.393,643.96,7.07,12.94
2022-01-03 17:00:00,1.789,604.4193750000001,6.8975,11.34
2022-01-03 18:00:00,0.186,564.8787500000001,6.7250000000000005,9.75
2022-01-03 19:00:00,0.077,525.338125,6.5525,8.54
2022-01-03 20:00:00,0.07,485.7975,6.38,8.59
2022-01-03 21:00:00,0.053,446.25687500000004,6.2075,8.43
2022-01-03 22:00:00,0.025,406.71625,6.035,7.21
2022-01-03 23:00:00,0.01,406.71625,6.035,6.04
2022-01-04 00:00:00,0.009,406.71625,6.035,5.4
2022-01-04 01:00:00,0.009,406.71625,6.035,4.96
2022-01-04 02:00:00,0.009,406.71625,6.035,4.64
2022-01-04 03:00:00,0.009,406.71625,6.035,4.45
2022-01-04 04:00:00,0.009,406.71625,6.035,3.98
2022-01-04 05:00:00,0.009,406.71625,6.035,3.63
2022-01-04 06:00:00,0.01,406.71625,6.035,3.3
2022-01-04 07:00:00,0.013,406.71625,6.035,3.2
2022-01-04 08:00:00,0.083,11.31,4.31,3.06
2022-01-04 09:00:00,1.388,226.7,13.01,4.92
2022-01-04 10:00:00,3.789,118.65,20.04,8.63
2022-01-04 11:00:00,4.623,185.61,24.82,11.17
2022-01-04 12:00:00,4.475,1027.6,26.82,12.7
2022-01-04 13:00:00,4.093,312.64,25.77,13.3
2022-01-04 14:00:00,3.683,200.07,21.82,13.38
2022-01-04 15:00:00,2.986,54.29,15.44,12.52
2022-01-04 16:00:00,1.86,9.08,7.21,9.98
2022-01-04 17:00:00,0.594,42.784375,7.029375,8.35
2022-01-04 18:00:00,0.023,76.48875,6.84875,7.16
2022-01-04 19:00:00,0.014,110.19312500000001,6.668125,6.37
2022-01-04 20:00:00,0.014,143.8975,6.4875,5.86
2022-01-04 21:00:00,0.014,177.601875,6.306875,5.56
2022-01-04 22:00:00,0.013,211.30625000000003,6.126250000000001,5.55
2022-01-04 23:00:00,0.013,211.30625000000003,6.126250000000001,5.25
2022-01-05 00:00:00,0.013,211.30625000000003,6.126250000000001,5.02
2022-01-05 01:00:00,0.013,211.30625000000003,6.126250000000001,4.76
2022-01-05 02:00:00,0.013,211.30625000000003,6.126250000000001,4.51
2022-01-05 03:00:00,0.013,211.30625000000003,6.126250000000001,4.24
2022-01-05 04:00:00,0.013,211.30625000000003,6.126250000000001,3.74
2022-01-05 05:00:00,0.013,211.30625000000003,6.126250000000001,3.47
2022-01-05 06:00:00,0.013,211.30625000000003,6.126250000000001,3.44
2022-01-05 07:00:00,0.013,211.30625000000003,6.126250000000001,3.31
2022-01-05 08:00:00,0.07,548.35,4.32,3.03
2022-01-05 09:00:00,1.485,649.91,13.04,4.14
2022-01-05 10:00:00,4.022,929.02,20.09,5.82
2022-01-05 11:00:00,5.43,1033.7,24.9,6.91
2022-01-05 12:00:00,6.064,1034.06,26.93,7.72
2022-01-05 13:00:00,5.988,1074.64,25.9,8.44
2022-01-05 14:00:00,5.325,283.12,21.96,8.42
2022-01-05 15:00:00,3.979,44.48,15.59,7.58
2022-01-05 16:00:00,2.26,8.45,7.36,6.69
2022-01-05 17:00:00,0.654,34.665625000000006,7.171250000000001,5.67
2022-01-05 18:00:00,0.059,60.88125000000001,6.9825,5.12
2022-01-05 19:00:00,0.018,87.09687500000001,6.79375,5.02
2022-01-05 20:00:00,0.014,113.31250000000001,6.605,4.98
2022-01-05 21:00:00,0.014,139.528125,6.41625,4.95
2022-01-05 22:00:00,0.012,165.74375,6.2275,4.86
2022-01-05 23:00:00,0.004,165.74375,6.2275,4.43
2022-01-06 00:00:00,0.004,165.74375,6.2275,3.75
2022-01-06 01:00:00,0.004,165.74375,6.2275,2.94
2022-01-06 02:00:00,0.004,165.74375,6.2275,2.91
2022-01-06 03:00:00,0.004,165.74375,6.2275,2.9
2022-01-06 04:00:00,0.004,165.74375,6.2275,2.5
2022-01-06 05:00:00,0.004,165.74375,6.2275,1.96
2022-01-06 06:00:00,0.004,165.74375,6.2275,2.67
2022-01-06 07:00:00,0.006,165.74375,6.2275,2.83
2022-01-06 08:00:00,0.076,427.9,4.34,2.1
2022-01-06 09:00:00,2.117,906.68,13.08,2.26
2022-01-06 10:00:00,5.637,990.77,20.15,4.26
2022-01-06 11:00:00,7.157,1050.3,24.99,5.37
2022-01-06 12:00:00,7.681,1051.07,27.04,6.28
2022-01-06 13:00:00,7.851,1023.37,26.03,7.41
2022-01-06 14:00:00,8.262,992.1,22.11,8.17
2022-01-06 15:00:00,8.145,898.18,15.74,8.62
2022-01-06 16:00:00,6.336,672.12,7.51,8.38
2022-01-06 17:00:00,2.474,660.801875,7.31375,7.22
2022-01-06 18:00:00,0.501,649.48375,7.1175,6.64
