datetime,Wind Onshore,temperature_2m,apparent_temperature,wind_speed_10m,wind_speed_100m,weather_code,precipitation,cloud_cover
2022-01-01 00:00:00,6.342,4.3,1.7,7.9,15.5,3.0,0.1,1.0
2022-01-01 01:00:00,6.398,3.8,0.9,8.3,16.5,3.0,0.1,8.0
2022-01-01 02:00:00,6.456,3.5,0.6,8.4,17.0,3.0,0.1,4.0
2022-01-01 03:00:00,6.144,3.0,0.1,8.0,17.2,3.0,0.1,5.0
2022-01-01 04:00:00,5.943,1.9,-0.9,6.4,16.1,3.0,0.1,3.0
2022-01-01 05:00:00,5.836,1.5,-1.4,6.4,16.7,3.0,0.1,10.0
2022-01-01 06:00:00,5.685,1.2,-1.8,6.8,17.7,3.0,0.1,95.0
2022-01-01 07:00:00,5.583,1.2,-1.9,7.4,16.9,2.0,0.1,76.0
2022-01-01 08:00:00,5.546,1.3,-2.0,8.3,17.3,2.0,0.1,56.0
2022-01-01 09:00:00,5.625,3.1,-0.2,10.2,18.6,2.0,0.1,54.0
2022-01-01 10:00:00,5.201,5.6,3.0,7.0,15.8,1.6666666666666667,0.1,10.0
2022-01-01 11:00:00,4.909,8.6,6.3,6.5,11.9,1.3333333333333335,0.1,12.0
2022-01-01 12:00:00,4.49,9.6,7.2,7.1,10.5,1.0,0.1,47.0
2022-01-01 13:00:00,4.262,11.8,9.7,6.4,8.5,3.0,0.1,90.0
2022-01-01 14:00:00,4.113,13.3,11.3,6.4,8.7,2.0,0.1,77.0
2022-01-01 15:00:00,4.709,14.0,12.3,5.1,7.1,3.0,0.1,96.0
2022-01-01 16:00:00,4.927,13.1,11.7,4.8,6.6,3.0,0.1,81.0
2022-01-01 17:00:00,5.379,12.8,10.9,4.9,7.1,3.0,0.1,96.0
2022-01-01 18:00:00,5.617,11.6,9.9,3.7,6.6,3.0,0.1,100.0
2022-01-01 19:00:00,6.164,10.9,8.8,5.5,8.7,1.0,0.1,49.0
2022-01-01 20:00:00,6.53,8.0,5.4,8.4,10.9,3.0,0.1,91.0
2022-01-01 21:00:00,6.813,7.1,4.7,7.1,7.6,3.0,0.1,83.0
2022-01-01 22:00:00,6.838,6.2,3.5,8.3,9.1,3.0,0.1,98.0
2022-01-01 23:00:00,6.562,5.2,2.5,8.0,9.4,3.0,0.1,96.0
2022-01-02 00:00:00,6.413,3.8,0.9,8.2,11.2,1.0,0.1,22.0
2022-01-02 01:00:00,6.353,3.6,1.0,5.6,9.1,1.0,0.1,26.0
