"latitude","longitude","generationtime_ms","utc_offset_seconds","timezone","timezone_abbreviation","elevation","hourly_units__time","hourly_units__temperature_2m","hourly_units__apparent_temperature","hourly_units__wind_speed_10m","hourly_units__wind_speed_100m","hourly_units__wind_direction_100m","hourly_units__wind_direction_10m","hourly_units__wind_gusts_10m","hourly__time","hourly__temperature_2m","hourly__apparent_temperature","hourly__wind_speed_10m","hourly__wind_speed_100m","hourly__wind_direction_100m","hourly__wind_direction_10m","hourly__wind_gusts_10m","daily_units__time","daily_units__weather_code","daily__time","daily__weather_code"
"41.370823","2.0689654","135.276198387146","3600","Europe/Berlin","GMT+1","44.0","iso8601","°C","°C","km/h","km/h","°","°","km/h","2023-01-01T00:00","9.6","8.0","6.5","17.9","260","276","13.3","iso8601","wmo code","2023-01-01","3"
"","","","","","","","","","","","","","","","2023-01-01T01:00","8.5","6.9","5.9","14.3","245","284","13.7","","","2023-01-02","3"
"","","","","","","","","","","","","","","","2023-01-01T02:00","8.1","6.4","5.5","12.8","260","302","12.2","","","2023-01-03","51"
"","","","","","","","","","","","","","","","2023-01-01T03:00","7.5","5.7","5.6","9.1","277","310","12.2","","","2023-01-04","3"
"","","","","","","","","","","","","","","","2023-01-01T04:00","6.7","4.9","4.7","6.5","267","302","12.2","","","2023-01-05","0"
"","","","","","","","","","","","","","","","2023-01-01T05:00","6.3","4.5","4.3","7.4","231","294","11.2","","","2023-01-06","1"
"","","","","","","","","","","","","","","","2023-01-01T06:00","6.6","4.7","4.7","7.9","227","293","11.5","","","2023-01-07","3"
"","","","","","","","","","","","","","","","2023-01-01T07:00","6.1","4.3","4.0","6.9","227","297","11.2","","","2023-01-08","51"
"","","","","","","","","","","","","","","","2023-01-01T08:00","5.9","4.0","3.9","6.4","223","304","10.8","","","2023-01-09","3"
"","","","","","","","","","","","","","","","2023-01-01T09:00","6.6","4.7","4.3","6.1","225","312","11.5","","","2023-01-10","3"
"","","","","","","","","","","","","","","","2023-01-01T10:00","9.5","7.9","5.1","7.0","235","309","13.0","","","2023-01-11","3"
"","","","","","","","","","","","","","","","2023-01-01T11:00","13.8","13.6","3.6","6.4","232","307","13.0","","","2023-01-12","3"
"","","","","","","","","","","","","","","","2023-01-01T12:00","15.3","15.4","5.7","7.4","203","198","15.8","","","2023-01-13","3"
"","","","","","","","","","","","","","","","2023-01-01T13:00","16.0","16.1","5.5","6.1","208","203","18.4","","","2023-01-14","3"
"","","","","","","","","","","","","","","","2023-01-01T14:00","16.5","16.3","6.2","7.3","191","187","16.9","","","2023-01-15","51"
"","","","","","","","","","","","","","","","2023-01-01T15:00","16.2","16.2","5.1","6.0","197","188","16.9","","","2023-01-16","51"
"","","","","","","","","","","","","","","","2023-01-01T16:00","15.8","16.2","2.2","2.4","207","180","14.4","","","2023-01-17","51"
"","","","","","","","","","","","","","","","2023-01-01T17:00","14.1","14.3","3.2","3.0","194","153","7.6","","","2023-01-18","3"
"","","","","","","","","","","","","","","","2023-01-01T18:00","13.9","14.4","1.8","0.8","153","79","6.8","","","2023-01-19","51"
"","","","","","","","","","","","","","","","2023-01-01T19:00","13.0","13.4","2.2","1.9","68","351","5.4","","","2023-01-20","3"
"","","","","","","","","","","","","","","","2023-01-01T20:00","11.1","10.8","3.4","3.7","79","342","6.1","","","2023-01-21","1"
"","","","","","","","","","","","","","","","2023-01-01T21:00","8.8","7.8","5.2","4.5","61","335","7.6","","","2023-01-22","3"
"","","","","","","","","","","","","","","","2023-01-01T22:00","8.5","7.2","6.0","5.4","37","327","8.6","","","2023-01-23","3"
"","","","","","","","","","","","","","","","2023-01-01T23:00","8.6","7.2","5.9","6.6","29","322","9.4","","","2023-01-24","3"
"","","","","","","","","","","","","","","","2023-01-02T00:00","8.9","7.6","4.8","7.2","18","318","9.4","","","2023-01-25","53"
"","","","","","","","","","","","","","","","2023-01-02T01:00","8.7","7.2","5.4","7.4","47","323","9.0","","","2023-01-26","2"
"","","","","","","","","","","","","","","","2023-01-02T02:00","8.8","7.2","4.6","7.9","24","315","8.6","","","2023-01-27","51"
"","","","","","","","","","","","","","","","2023-01-02T03:00","8.9","6.9","5.9","9.7","2","313","11.2","","","2023-01-28","53"
"","","","","","","","","","","","","","","","2023-01-02T04:00","8.1","5.9","6.7","10.2","350","306","13.0","","","2023-01-29","51"
"","","","","","","","","","","","","","","","2023-01-02T05:00","7.1","4.6","8.1","11.5","340","302","15.1","","","2023-01-30","3"
"","","","","","","","","","","","","","","","2023-01-02T06:00","6.6","3.9","8.6","10.2","342","303","15.8","","","2023-01-31","2"
"","","","","","","","","","","","","","","","2023-01-02T07:00","6.5","3.7","9.6","11.2","339","304","18.4","","","2023-02-01","1"
"","","","","","","","","","","","","","","","2023-01-02T08:00","6.9","3.9","10.4","12.6","333","304","19.4","","","2023-02-02","0"
"","","","","","","","","","","","","","","","2023-01-02T09:00","7.5","4.6","10.0","10.5","333","300","19.4","","","2023-02-03","0"
"","","","","","","","","","","","","","","","2023-01-02T10:00","9.5","6.8","9.3","6.6","319","298","18.7","","","2023-02-04","0"
"","","","","","","","","","","","","","","","2023-01-02T11:00","12.4","10.1","8.9","10.9","304","297","19.4","","","2023-02-05","2"
"","","","","","","","","","","","","","","","2023-01-02T12:00","15.2","13.8","6.3","9.8","298","283","18.7","","","2023-02-06","51"
"","","","","","","","","","","","","","","","2023-01-02T13:00","15.4","15.1","0.8","1.8","307","297","14.8","","","2023-02-07","63"
"","","","","","","","","","","","","","","","2023-01-02T14:00","16.0","15.7","1.6","3.3","276","243","8.3","","","2023-02-08","53"
"","","","","","","","","","","","","","","","2023-01-02T15:00","16.2","15.9","2.4","2.3","198","153","7.9","","","2023-02-09","51"
"","","","","","","","","","","","","","","","2023-01-02T16:00","15.2","14.5","6.0","6.4","164","147","12.2","","","2023-02-10","3"
"","","","","","","","","","","","","","","","2023-01-02T17:00","13.0","12.8","4.7","5.4","172","148","12.2","","","2023-02-11","0"
"","","","","","","","","","","","","","","","2023-01-02T18:00","12.0","11.7","4.1","3.1","36","52","6.1","","","2023-02-12","0"
"","","","","","","","","","","","","","","","2023-01-02T19:00","11.5","11.2","4.6","11.2","57","45","9.0","","","2023-02-13","0"
"","","","","","","","","","","","","","","","2023-01-02T20:00","10.6","10.2","3.9","8.9","63","338","10.4","","","2023-02-14","3"
"","","","","","","","","","","","","","","","2023-01-02T21:00","10.1","9.7","2.8","6.4","74","310","8.3","","","2023-02-15","3"
"","","","","","","","","","","","","","","","2023-01-02T22:00","10.3","9.9","2.7","2.1","59","293","6.1","","","2023-02-16","3"
"","","","","","","","","","","","","","","","2023-01-02T23:00","10.0","9.6","2.3","0.7","360","288","5.0","","","2023-02-17","2"
"","","","","","","","","","","","","","","","2023-01-03T00:00","9.7","8.5","5.9","7.8","283","284","11.5","","","2023-02-18","0"
"","","","","","","","","","","","","","","","2023-01-03T01:00","11.1","10.0","8.4","14.5","305","295","14.4","","","2023-02-19","3"
"","","","","","","","","","","","","","","","2023-01-03T02:00","10.4","9.6","4.7","8.7","315","302","15.1","","","2023-02-20","3"
"","","","","","","","","","","","","","","","2023-01-03T03:00","10.1","9.4","3.3","3.7","29","319","9.4","","","2023-02-21","51"
"","","","","","","","","","","","","","","","2023-01-03T04:00","9.7","8.2","8.2","11.3","333","311","14.8","","","2023-02-22","51"
"","","","","","","","","","","","","","","","2023-01-03T05:00","9.1","7.7","5.8","11.0","319","292","15.5","","","2023-02-23","61"
"","","","","","","","","","","","","","","","2023-01-03T06:00","8.7","7.2","5.8","7.3","303","292","11.5","","","2023-02-24","63"
"","","","","","","","","","","","","","","","2023-01-03T07:00","8.4","6.7","7.1","8.7","312","300","13.7","","","2023-02-25","51"
"","","","","","","","","","","","","","","","2023-01-03T08:00","9.0","7.0","9.5","13.2","315","299","17.3","","","2023-02-26","73"
"","","","","","","","","","","","","","","","2023-01-03T09:00","9.4","7.5","9.7","15.0","314","297","17.3","","","2023-02-27","75"
"","","","","","","","","","","","","","","","2023-01-03T10:00","11.0","9.1","10.3","17.3","317","299","19.1","","","2023-02-28","53"
"","","","","","","","","","","","","","","","2023-01-03T11:00","12.8","11.3","9.4","19.4","317","293","19.4","","","2023-03-01","3"
"","","","","","","","","","","","","","","","2023-01-03T12:00","14.7","13.6","8.5","14.1","308","298","19.4","","","2023-03-02","51"
"","","","","","","","","","","","","","","","2023-01-03T13:00","14.3","13.6","6.9","11.2","270","261","19.4","","","2023-03-03","3"
"","","","","","","","","","","","","","","","2023-01-03T14:00","15.4","14.7","6.4","8.5","258","254","16.2","","","2023-03-04","3"
"","","","","","","","","","","","","","","","2023-01-03T15:00","16.0","15.0","8.2","10.5","254","247","19.1","","","2023-03-05","3"
"","","","","","","","","","","","","","","","2023-01-03T16:00","15.8","14.5","9.5","12.9","243","233","19.8","","","2023-03-06","51"
"","","","","","","","","","","","","","","","2023-01-03T17:00","14.3","13.7","6.1","13.4","246","225","19.1","","","2023-03-07","3"
"","","","","","","","","","","","","","","","2023-01-03T18:00","11.2","10.0","7.6","11.2","272","245","11.9","","","2023-03-08","3"
"","","","","","","","","","","","","","","","2023-01-03T19:00","10.8","9.5","6.5","8.9","291","264","12.2","","","2023-03-09","53"
"","","","","","","","","","","","","","","","2023-01-03T20:00","8.8","7.0","7.9","11.5","316","313","11.9","","","2023-03-10","3"
"","","","","","","","","","","","","","","","2023-01-03T21:00","8.8","7.1","6.7","14.8","337","324","12.2","","","2023-03-11","3"
"","","","","","","","","","","","","","","","2023-01-03T22:00","8.5","6.6","7.7","15.4","339","311","14.8","","","2023-03-12","3"
"","","","","","","","","","","","","","","","2023-01-03T23:00","8.4","6.5","7.6","15.0","349","315","15.1","","","2023-03-13","3"
"","","","","","","","","","","","","","","","2023-01-04T00:00","8.2","6.3","7.4","12.6","347","309","14.4","","","2023-03-14","3"
"","","","","","","","","","","","","","","","2023-01-04T01:00","8.3","6.1","10.3","20.0","326","306","15.8","","","2023-03-15","3"
"","","","","","","","","","","","","","","","2023-01-04T02:00","8.1","5.9","9.5","19.2","320","299","19.1","","","2023-03-16","3"
"","","","","","","","","","","","","","","","2023-01-04T03:00","7.7","5.4","9.9","19.7","322","303","18.7","","","2023-03-17","51"
"","","","","","","","","","","","","","","","2023-01-04T04:00","7.4","5.1","9.4","18.1","325","302","18.4","","","2023-03-18","51"
"","","","","","","","","","","","","","","","2023-01-04T05:00","7.1","4.5","11.6","19.4","329","306","20.5","","","2023-03-19","51"
"","","","","","","","","","","","","","","","2023-01-04T06:00","7.1","4.5","12.2","21.3","334","313","23.0","","","2023-03-20","3"
"","","","","","","","","","","","","","","","2023-01-04T07:00","6.8","4.1","12.8","20.5","332","310","23.8","","","2023-03-21","3"
"","","","","","","","","","","","","","","","2023-01-04T08:00","6.5","3.7","13.1","19.2","330","307","24.1","","","2023-03-22","3"
"","","","","","","","","","","","","","","","2023-01-04T09:00","6.5","3.6","13.1","20.0","332","307","24.5","","","2023-03-23","3"
"","","","","","","","","","","","","","","","2023-01-04T10:00","7.7","4.9","13.0","19.3","333","304","24.5","","","2023-03-24","3"
"","","","","","","","","","","","","","","","2023-01-04T11:00","10.1","8.1","9.8","14.7","335","306","23.8","","","2023-03-25","3"
"","","","","","","","","","","","","","","","2023-01-04T12:00","12.9","11.7","6.4","9.5","331","317","20.5","","","2023-03-26","2"
"","","","","","","","","","","","","","","","2023-01-04T13:00","15.2","14.0","4.4","6.1","332","325","16.9","","","2023-03-27","1"
"","","","","","","","","","","","","","","","2023-01-04T14:00","15.8","15.0","1.3","1.4","270","236","13.3","","","2023-03-28","51"
"","","","","","","","","","","","","","","","2023-01-04T15:00","15.9","14.6","4.3","4.4","189","180","12.6","","","2023-03-29","3"
"","","","","","","","","","","","","","","","2023-01-04T16:00","15.1","13.8","7.2","8.4","187","177","15.8","","","2023-03-30","3"
"","","","","","","","","","","","","","","","2023-01-04T17:00","13.3","12.6","4.7","9.7","211","189","15.5","","","2023-03-31","3"
"","","","","","","","","","","","","","","","2023-01-04T18:00","10.5","9.1","7.4","8.6","248","231","11.2","","","2023-04-01","63"
"","","","","","","","","","","","","","","","2023-01-04T19:00","8.9","7.1","8.0","8.7","263","262","10.8","","","2023-04-02","51"
"","","","","","","","","","","","","","","","2023-01-04T20:00","8.1","6.2","6.8","9.7","292","288","11.2","","","2023-04-03","2"
"","","","","","","","","","","","","","","","2023-01-04T21:00","7.8","5.9","5.8","11.2","318","300","10.8","","","2023-04-04","3"
"","","","","","","","","","","","","","","","2023-01-04T22:00","7.4","5.0","8.9","13.9","323","302","16.6","","","2023-04-05","3"
"","","","","","","","","","","","","","","","2023-01-04T23:00","7.0","4.4","9.8","15.1","322","298","18.0","","","2023-04-06","51"
"","","","","","","","","","","","","","","","2023-01-05T00:00","6.8","3.9","10.6","16.3","319","294","19.1","","","2023-04-07","2"
"","","","","","","","","","","","","","","","2023-01-05T01:00","6.7","3.6","12.1","16.7","323","300","19.8","","","2023-04-08","3"
"","","","","","","","","","","","","","","","2023-01-05T02:00","6.1","3.2","10.5","12.5","316","297","21.6","","","2023-04-09","3"
"","","","","","","","","","","","","","","","2023-01-05T03:00","5.5","2.4","11.3","13.0","318","301","20.5","","","2023-04-10","3"
"","","","","","","","","","","","","","","","2023-01-05T04:00","5.1","1.9","11.1","12.5","314","299","21.2","","","2023-04-11","3"
"","","","","","","","","","","","","","","","2023-01-05T05:00","4.8","1.6","10.8","13.2","315","300","20.5","","","2023-04-12","3"
"","","","","","","","","","","","","","","","2023-01-05T06:00","4.8","1.5","11.1","14.6","320","299","20.9","","","2023-04-13","63"
"","","","","","","","","","","","","","","","2023-01-05T07:00","4.9","1.6","10.3","13.1","323","299","20.9","","","2023-04-14","3"
"","","","","","","","","","","","","","","","2023-01-05T08:00","4.6","1.3","10.5","12.2","317","297","19.4","","","2023-04-15","3"
"","","","","","","","","","","","","","","","2023-01-05T09:00","4.9","1.4","10.9","12.2","315","297","20.2","","","2023-04-16","3"
"","","","","","","","","","","","","","","","2023-01-05T10:00","7.6","4.4","10.8","13.5","316","296","22.0","","","2023-04-17","3"
"","","","","","","","","","","","","","","","2023-01-05T11:00","10.7","7.9","9.8","15.5","314","287","20.9","","","2023-04-18","51"
