datetime,Area,Production Type,Generation (MWh)
2025/1/1 0:00,BZN|ES,Wind Onshore,2949.0
2025/1/1 1:00,BZN|ES,Wind Onshore,3222.0
2025/1/1 2:00,BZN|ES,Wind Onshore,3428.0
2025/1/1 3:00,BZN|ES,Wind Onshore,3526.0
2025/1/1 4:00,BZN|ES,Wind Onshore,3609.0
2025/1/1 5:00,BZN|ES,Wind Onshore,3905.0
2025/1/1 6:00,BZN|ES,Wind Onshore,3898.0
2025/1/1 7:00,BZN|ES,Wind Onshore,3869.0
2025/1/1 8:00,BZN|ES,Wind Onshore,4007.0
2025/1/1 9:00,BZN|ES,Wind Onshore,3880.0
2025/1/1 10:00,BZN|ES,Wind Onshore,3547.0
2025/1/1 11:00,BZN|ES,Wind Onshore,3469.0
2025/1/1 12:00,BZN|ES,Wind Onshore,3393.0
2025/1/1 13:00,BZN|ES,Wind Onshore,3624.0
2025/1/1 14:00,BZN|ES,Wind Onshore,3755.0
2025/1/1 15:00,BZN|ES,Wind Onshore,3782.0
2025/1/1 16:00,BZN|ES,Wind Onshore,3795.0
2025/1/1 17:00,BZN|ES,Wind Onshore,3829.0
2025/1/1 18:00,BZN|ES,Wind Onshore,4163.0
2025/1/1 19:00,BZN|ES,Wind Onshore,4674.0
2025/1/1 20:00,BZN|ES,Wind Onshore,4835.0
2025/1/1 21:00,BZN|ES,Wind Onshore,5026.0
2025/1/1 22:00,BZN|ES,Wind Onshore,5047.0
2025/1/1 23:00,BZN|ES,Wind Onshore,5197.0
2025/1/2 0:00,BZN|ES,Wind Onshore,5295.0
2025/1/2 1:00,BZN|ES,Wind Onshore,5399.0
2025/1/2 2:00,BZN|ES,Wind Onshore,5520.0
2025/1/2 3:00,BZN|ES,Wind Onshore,5674.0
2025/1/2 4:00,BZN|ES,Wind Onshore,5625.0
2025/1/2 5:00,BZN|ES,Wind Onshore,5746.0
2025/1/2 6:00,BZN|ES,Wind Onshore,5944.0
2025/1/2 7:00,BZN|ES,Wind Onshore,5989.0
2025/1/2 8:00,BZN|ES,Wind Onshore,6123.0
2025/1/2 9:00,BZN|ES,Wind Onshore,6022.0
2025/1/2 10:00,BZN|ES,Wind Onshore,5570.0
2025/1/2 11:00,BZN|ES,Wind Onshore,5478.0
2025/1/2 12:00,BZN|ES,Wind Onshore,5792.0
2025/1/2 13:00,BZN|ES,Wind Onshore,6398.0
2025/1/2 14:00,BZN|ES,Wind Onshore,6736.0
2025/1/2 15:00,BZN|ES,Wind Onshore,6862.0
2025/1/2 16:00,BZN|ES,Wind Onshore,6536.0
2025/1/2 17:00,BZN|ES,Wind Onshore,6655.0
2025/1/2 18:00,BZN|ES,Wind Onshore,7182.0
2025/1/2 19:00,BZN|ES,Wind Onshore,7886.0
2025/1/2 20:00,BZN|ES,Wind Onshore,8228.0
2025/1/2 21:00,BZN|ES,Wind Onshore,8542.0
2025/1/2 22:00,BZN|ES,Wind Onshore,8791.0
2025/1/2 23:00,BZN|ES,Wind Onshore,8837.0
2025/1/3 0:00,BZN|ES,Wind Onshore,9084.0
2025/1/3 1:00,BZN|ES,Wind Onshore,9534.0
2025/1/3 2:00,BZN|ES,Wind Onshore,10335.0
2025/1/3 3:00,BZN|ES,Wind Onshore,10417.0
2025/1/3 4:00,BZN|ES,Wind Onshore,10580.0
2025/1/3 5:00,BZN|ES,Wind Onshore,11219.0
2025/1/3 6:00,BZN|ES,Wind Onshore,11531.0
2025/1/3 7:00,BZN|ES,Wind Onshore,11802.0
2025/1/3 8:00,BZN|ES,Wind Onshore,12290.0
2025/1/3 9:00,BZN|ES,Wind Onshore,12538.0
2025/1/3 10:00,BZN|ES,Wind Onshore,12024.0
