datetime,Area,Production Type,Generation (MWh)
2022-01-01 00:00:00,BZN|ES,Solar,75.0
2022-01-01 01:00:00,BZN|ES,Solar,75.0
2022-01-01 02:00:00,BZN|ES,Solar,75.0
2022-01-01 03:00:00,BZN|ES,Solar,75.0
2022-01-01 04:00:00,BZN|ES,Solar,75.0
2022-01-01 05:00:00,BZN|ES,Solar,75.0
2022-01-01 06:00:00,BZN|ES,Solar,75.0
2022-01-01 07:00:00,BZN|ES,Solar,75.0
2022-01-01 08:00:00,BZN|ES,Solar,144.0
2022-01-01 09:00:00,BZN|ES,Solar,2024.0
2022-01-01 10:00:00,BZN|ES,Solar,5220.0
2022-01-01 11:00:00,BZN|ES,Solar,7033.0
2022-01-01 12:00:00,BZN|ES,Solar,7564.0
2022-01-01 13:00:00,BZN|ES,Solar,7514.0
2022-01-01 14:00:00,BZN|ES,Solar,7338.0
2022-01-01 15:00:00,BZN|ES,Solar,6789.0
2022-01-01 16:00:00,BZN|ES,Solar,4763.0
2022-01-01 17:00:00,BZN|ES,Solar,1679.0
2022-01-01 18:00:00,BZN|ES,Solar,270.0
2022-01-01 19:00:00,BZN|ES,Solar,145.0
2022-01-01 20:00:00,BZN|ES,Solar,129.0
2022-01-01 21:00:00,BZN|ES,Solar,78.0
2022-01-01 22:00:00,BZN|ES,Solar,49.0
2022-01-01 23:00:00,BZN|ES,Solar,14.0
2022-01-02 00:00:00,BZN|ES,Solar,0.0
2022-01-02 01:00:00,BZN|ES,Solar,15.0
2022-01-02 02:00:00,BZN|ES,Solar,5.0
2022-01-02 03:00:00,BZN|ES,Solar,5.0
2022-01-02 04:00:00,BZN|ES,Solar,5.0
2022-01-02 05:00:00,BZN|ES,Solar,5.0
2022-01-02 06:00:00,BZN|ES,Solar,5.0
2022-01-02 07:00:00,BZN|ES,Solar,5.0
2022-01-02 08:00:00,BZN|ES,Solar,88.0
2022-01-02 09:00:00,BZN|ES,Solar,1620.0
2022-01-02 10:00:00,BZN|ES,Solar,4216.0
2022-01-02 11:00:00,BZN|ES,Solar,5885.0
2022-01-02 12:00:00,BZN|ES,Solar,6655.0
2022-01-02 13:00:00,BZN|ES,Solar,6915.0
2022-01-02 14:00:00,BZN|ES,Solar,6868.0
2022-01-02 15:00:00,BZN|ES,Solar,6554.0
2022-01-02 16:00:00,BZN|ES,Solar,4749.0
2022-01-02 17:00:00,BZN|ES,Solar,1651.0
2022-01-02 18:00:00,BZN|ES,Solar,167.0
2022-01-02 19:00:00,BZN|ES,Solar,64.0
2022-01-02 20:00:00,BZN|ES,Solar,64.0
2022-01-02 21:00:00,BZN|ES,Solar,63.0
2022-01-02 22:00:00,BZN|ES,Solar,45.0
2022-01-02 23:00:00,BZN|ES,Solar,40.0
2022-01-03 00:00:00,BZN|ES,Solar,40.0
2022-01-03 01:00:00,BZN|ES,Solar,40.0
2022-01-03 02:00:00,BZN|ES,Solar,40.0
2022-01-03 03:00:00,BZN|ES,Solar,40.0
2022-01-03 04:00:00,BZN|ES,Solar,40.0
2022-01-03 05:00:00,BZN|ES,Solar,40.0
2022-01-03 06:00:00,BZN|ES,Solar,40.0
2022-01-03 07:00:00,BZN|ES,Solar,40.0
2022-01-03 08:00:00,BZN|ES,Solar,111.0
2022-01-03 09:00:00,BZN|ES,Solar,1863.0
2022-01-03 10:00:00,BZN|ES,Solar,5024.0
2022-01-03 11:00:00,BZN|ES,Solar,6780.0
2022-01-03 12:00:00,BZN|ES,Solar,7405.0
2022-01-03 13:00:00,BZN|ES,Solar,7557.0
2022-01-03 14:00:00,BZN|ES,Solar,7652.0
2022-01-03 15:00:00,BZN|ES,Solar,7379.0
2022-01-03 16:00:00,BZN|ES,Solar,5393.0
2022-01-03 17:00:00,BZN|ES,Solar,1789.0
2022-01-03 18:00:00,BZN|ES,Solar,186.0
2022-01-03 19:00:00,BZN|ES,Solar,77.0
2022-01-03 20:00:00,BZN|ES,Solar,70.0
2022-01-03 21:00:00,BZN|ES,Solar,53.0
2022-01-03 22:00:00,BZN|ES,Solar,25.0
2022-01-03 23:00:00,BZN|ES,Solar,10.0
2022-01-04 00:00:00,BZN|ES,Solar,9.0
2022-01-04 01:00:00,BZN|ES,Solar,9.0
2022-01-04 02:00:00,BZN|ES,Solar,9.0
2022-01-04 03:00:00,BZN|ES,Solar,9.0
2022-01-04 04:00:00,BZN|ES,Solar,9.0
2022-01-04 05:00:00,BZN|ES,Solar,9.0
2022-01-04 06:00:00,BZN|ES,Solar,10.0
2022-01-04 07:00:00,BZN|ES,Solar,13.0
2022-01-04 08:00:00,BZN|ES,Solar,83.0
2022-01-04 09:00:00,BZN|ES,Solar,1388.0
2022-01-04 10:00:00,BZN|ES,Solar,3789.0
2022-01-04 11:00:00,BZN|ES,Solar,4623.0
2022-01-04 12:00:00,BZN|ES,Solar,4475.0
2022-01-04 13:00:00,BZN|ES,Solar,4093.0
2022-01-04 14:00:00,BZN|ES,Solar,3683.0
2022-01-04 15:00:00,BZN|ES,Solar,2986.0
2022-01-04 16:00:00,BZN|ES,Solar,1860.0
2022-01-04 17:00:00,BZN|ES,Solar,594.0
2022-01-04 18:00:00,BZN|ES,Solar,23.0
2022-01-04 19:00:00,BZN|ES,Solar,14.0
2022-01-04 20:00:00,BZN|ES,Solar,14.0
2022-01-04 21:00:00,BZN|ES,Solar,14.0
2022-01-04 22:00:00,BZN|ES,Solar,13.0
2022-01-04 23:00:00,BZN|ES,Solar,13.0
2022-01-05 00:00:00,BZN|ES,Solar,13.0
2022-01-05 01:00:00,BZN|ES,Solar,13.0
2022-01-05 02:00:00,BZN|ES,Solar,13.0
2022-01-05 03:00:00,BZN|ES,Solar,13.0
2022-01-05 04:00:00,BZN|ES,Solar,13.0
