datetime,Area,Production Type,Generation (MWh)
2025-01-01 00:00:00,BZN|ES,Solar,4.0
2025-01-01 01:00:00,BZN|ES,Solar,4.0
2025-01-01 02:00:00,BZN|ES,Solar,4.0
2025-01-01 03:00:00,BZN|ES,Solar,4.0
2025-01-01 04:00:00,BZN|ES,Solar,4.0
2025-01-01 05:00:00,BZN|ES,Solar,4.0
2025-01-01 06:00:00,BZN|ES,Solar,4.0
2025-01-01 07:00:00,BZN|ES,Solar,4.0
2025-01-01 08:00:00,BZN|ES,Solar,42.0
2025-01-01 09:00:00,BZN|ES,Solar,1786.0
2025-01-01 10:00:00,BZN|ES,Solar,7078.0
2025-01-01 11:00:00,BZN|ES,Solar,10532.0
2025-01-01 12:00:00,BZN|ES,Solar,11730.0
2025-01-01 13:00:00,BZN|ES,Solar,11706.0
2025-01-01 14:00:00,BZN|ES,Solar,11349.0
2025-01-01 15:00:00,BZN|ES,Solar,10753.0
2025-01-01 16:00:00,BZN|ES,Solar,9010.0
2025-01-01 17:00:00,BZN|ES,Solar,3992.0
2025-01-01 18:00:00,BZN|ES,Solar,554.0
2025-01-01 19:00:00,BZN|ES,Solar,217.0
2025-01-01 20:00:00,BZN|ES,Solar,143.0
2025-01-01 21:00:00,BZN|ES,Solar,81.0
2025-01-01 22:00:00,BZN|ES,Solar,76.0
2025-01-01 23:00:00,BZN|ES,Solar,76.0
2025-01-02 00:00:00,BZN|ES,Solar,24.0
2025-01-02 01:00:00,BZN|ES,Solar,4.0
2025-01-02 02:00:00,BZN|ES,Solar,4.0
2025-01-02 03:00:00,BZN|ES,Solar,4.0
2025-01-02 04:00:00,BZN|ES,Solar,7.0
2025-01-02 05:00:00,BZN|ES,Solar,17.0
2025-01-02 06:00:00,BZN|ES,Solar,20.0
2025-01-02 07:00:00,BZN|ES,Solar,20.0
2025-01-02 08:00:00,BZN|ES,Solar,65.0
2025-01-02 09:00:00,BZN|ES,Solar,2310.0
2025-01-02 10:00:00,BZN|ES,Solar,8568.0
2025-01-02 11:00:00,BZN|ES,Solar,12061.0
2025-01-02 12:00:00,BZN|ES,Solar,13271.0
2025-01-02 13:00:00,BZN|ES,Solar,13406.0
2025-01-02 14:00:00,BZN|ES,Solar,13809.0
2025-01-02 15:00:00,BZN|ES,Solar,13836.0
2025-01-02 16:00:00,BZN|ES,Solar,11440.0
