Timestamp,Hour,Actual_Generation_MWh,Forecast_Generation_MWh,Forecast_Lower_Bound_MWh,Forecast_Upper_Bound_MWh
2025-01-01 00:00,0,4.0,0.0,0.0,2651.1902706369565
2025-01-01 01:00,1,4.0,0.0,0.0,3209.0652966093144
2025-01-01 02:00,2,4.0,0.0,0.0,2850.9203913855167
2025-01-01 03:00,3,4.0,0.0,0.0,2688.9446320711872
2025-01-01 04:00,4,4.0,0.0,0.0,3187.549177421168
2025-01-01 05:00,5,4.0,0.0,0.0,2571.128299427152
2025-01-01 06:00,6,4.0,0.0,0.0,2239.067561615767
2025-01-01 07:00,7,4.0,0.0,0.0,2952.519348082636
2025-01-01 08:00,8,42.0,281.1425429760766,0.0,4407.905488466086
2025-01-01 09:00,9,1786.0,3017.3624866649343,0.0,7004.576142022466
2025-01-01 10:00,10,7078.0,6019.01721283155,1700.771387000021,10236.139985766464
2025-01-01 11:00,11,10532.0,8288.360760757583,4226.742662050194,12537.205256669607
2025-01-01 12:00,12,11730.0,9347.074827797522,5357.055691899534,13270.608365001104
2025-01-01 13:00,13,11706.0,9438.966681984793,5327.883793720763,13520.584101968609
2025-01-01 14:00,14,11349.0,9123.248269572585,5220.081976779538,13094.486126763335
2025-01-01 15:00,15,10753.0,8679.583020825907,4872.203461674917,12961.656102704907
2025-01-01 16:00,16,9010.0,7894.579659477971,3630.6034873465505,11866.763279785066
2025-01-01 17:00,17,3992.0,6402.240547962788,2295.5343101614058,10382.0439865142
2025-01-01 18:00,18,554.0,4205.134649725708,0.0,8284.720717814453
2025-01-01 19:00,19,217.0,1840.4679359413672,0.0,6006.25518665551
2025-01-01 20:00,20,143.0,20.890197029281808,0.0,3987.536958066233
2025-01-01 21:00,21,81.0,0.0,0.0,3039.3334114705813
2025-01-01 22:00,22,76.0,0.0,0.0,2826.2915572470674
2025-01-01 23:00,23,76.0,0.0,0.0,2841.4609712419983
2025-01-02 00:00,0,24.0,0.0,0.0,2655.2064156730153
2025-01-02 01:00,1,4.0,0.0,0.0,2751.4106037930896
2025-01-02 02:00,2,4.0,0.0,0.0,2959.440549386287
2025-01-02 03:00,3,4.0,0.0,0.0,2873.924281443822
2025-01-02 04:00,4,7.0,0.0,0.0,3093.326901546298
2025-01-02 05:00,5,17.0,0.0,0.0,2700.6786217172034
2025-01-02 06:00,6,20.0,0.0,0.0,2272.008832136923
2025-01-02 07:00,7,20.0,0.0,0.0,2888.015628881484
2025-01-02 08:00,8,65.0,312.0917660057239,0.0,4090.2412100883216
2025-01-02 09:00,9,2310.0,3055.2613695762993,0.0,7339.5457315329895
2025-01-02 10:00,10,8568.0,6063.763866842381,2247.718809994306,10137.169391623245
2025-01-02 11:00,11,12061.0,8339.821773344771,4183.239118661618,12616.18045307637
2025-01-02 12:00,12,13271.0,9405.085644117955,5165.208754271277,13318.153311777107
2025-01-02 13:00,13,13406.0,9503.332167926355,5321.490139420572,13497.168191772582
2025-01-02 14:00,14,13809.0,9193.743453061441,4916.159864514542,13382.969137838716
2025-01-02 15:00,15,13836.0,8755.954009277628,4667.682526580149,13127.907314770331
2025-01-02 16:00,16,11440.0,7976.544728602617,3994.9656670751915,11891.78974789882
2025-01-02 17:00,17,4871.0,6489.491396548245,2065.574477329789,10583.833234448059
2025-01-02 18:00,18,579.0,4297.337813806151,0.0,8564.38717296901
2025-01-02 19:00,19,167.0,1937.266354458341,0.0,6014.909601199684
2025-01-02 20:00,20,163.0,121.90492025043568,0.0,4084.1467378367647
2025-01-02 21:00,21,163.0,0.0,0.0,3257.6171838216064
2025-01-02 22:00,22,119.0,0.0,0.0,3244.3542154913994
2025-01-02 23:00,23,51.0,0.0,0.0,2937.5165128684507
2025-01-03 00:00,0,48.0,0.0,0.0,2939.546853727317
2025-01-03 01:00,1,47.0,0.0,0.0,2686.519161681057
2025-01-03 02:00,2,48.0,0.0,0.0,2731.867713496259
2025-01-03 03:00,3,36.0,0.0,0.0,3000.5889190431108
2025-01-03 04:00,4,32.0,0.0,0.0,3034.5992443310092
2025-01-03 05:00,5,32.0,0.0,0.0,2601.743974523166
2025-01-03 06:00,6,32.0,0.0,0.0,2773.024506807133
2025-01-03 07:00,7,32.0,0.0,0.0,2640.9119215749706
2025-01-03 08:00,8,84.0,428.9940423662101,0.0,4487.889709977742
2025-01-03 09:00,9,2090.0,3170.4279601109097,0.0,7248.249227992176
2025-01-03 10:00,10,7085.0,6176.7405084139,2117.072781565289,10133.875779129583
2025-01-03 11:00,11,10293.0,8450.166671764915,4526.7984799158585,12260.809586786125
2025-01-03 12:00,12,11583.0,9512.371698320572,5724.651030599031,13513.730337946858
2025-01-03 13:00,13,11379.0,9607.149103068274,5719.473267866916,13642.993441231778
2025-01-03 14:00,14,10704.0,9293.699850866604,5336.678170204294,13447.221001389922
2025-01-03 15:00,15,9593.0,8851.67922247379,4585.445903790379,12874.086372821934
2025-01-03 16:00,16,7331.0,8067.690668584773,3718.3185895971,12204.740082583401
2025-01-03 17:00,17,2776.0,6575.7341834555145,2683.458151451525,10547.878237665009
2025-01-03 18:00,18,276.0,4378.3792802386015,527.1969841796125,8364.285596498816
2025-01-03 19:00,19,80.0,2012.8353929029931,0.0,6416.833515130834
2025-01-03 20:00,20,77.0,191.758668713127,0.0,3832.44448757538
2025-01-03 21:00,21,56.0,0.0,0.0,3492.845216225984
2025-01-03 22:00,22,56.0,0.0,0.0,3169.7650318388078
2025-01-03 23:00,23,56.0,0.0,0.0,3063.8494565622445
2025-01-04 00:00,0,56.0,0.0,0.0,3066.4285878647925
2025-01-04 01:00,1,56.0,0.0,0.0,3004.639206946692
2025-01-04 02:00,2,56.0,0.0,0.0,2998.920598851115
2025-01-04 03:00,3,56.0,0.0,0.0,3095.3755547646347
2025-01-04 04:00,4,56.0,0.0,0.0,3198.517200922618
2025-01-04 05:00,5,56.0,0.0,0.0,2831.3716900901486
2025-01-04 06:00,6,56.0,0.0,0.0,2354.555074801414
2025-01-04 07:00,7,56.0,0.0,0.0,3018.5509545656023
2025-01-04 08:00,8,92.0,422.4552700520062,0.0,4654.803572396755
2025-01-04 09:00,9,1443.0,3157.806175379742,0.0,7171.5436884036135
2025-01-04 10:00,10,5440.0,6158.21407357071,2295.859043060789,10193.829917237746
2025-01-04 11:00,11,9165.0,8425.939008622074,4722.5278517773595,12785.097887869693
2025-01-04 12:00,12,10519.0,9482.66981510581,5594.100290645051,13717.845427168926
2025-01-04 13:00,13,11174.0,9572.22200636992,5689.4201582255555,13563.366848803287
2025-01-04 14:00,14,10774.0,9253.816853851073,5351.04568546622,13565.741082354873
2025-01-04 15:00,15,9869.0,8807.12816083397,4445.341286066231,12914.092826408792
2025-01-04 16:00,16,6832.0,8018.776036351286,4330.722528867697,12118.75789282247
2025-01-04 17:00,17,2039.0,6522.775200911539,2352.4583114796487,10589.14916019166
2025-01-04 18:00,18,137.0,4321.707905631586,0.0,8176.673408472721
2025-01-04 19:00,19,16.0,1952.7942924619247,0.0,5933.2371573649425
2025-01-04 20:00,20,16.0,128.69915536396456,0.0,4405.616139175671
2025-01-04 21:00,21,16.0,0.0,0.0,3592.385372372218
2025-01-04 22:00,22,16.0,0.0,0.0,3134.564095923764
2025-01-04 23:00,23,16.0,0.0,0.0,2906.4546045139605
2025-01-05 00:00,0,16.0,0.0,0.0,2871.3978857312945
2025-01-05 01:00,1,16.0,0.0,0.0,2891.3010291334135
2025-01-05 02:00,2,16.0,0.0,0.0,3100.780091779807
2025-01-05 03:00,3,16.0,0.0,0.0,2951.035737174812
2025-01-05 04:00,4,16.0,0.0,0.0,2819.052746983417
2025-01-05 05:00,5,16.0,0.0,0.0,2870.901185244457
2025-01-05 06:00,6,16.0,0.0,0.0,2399.513382894676
2025-01-05 07:00,7,16.0,0.0,0.0,2956.4560239151474
2025-01-05 08:00,8,48.0,350.9309771501212,0.0,4613.576530716761
2025-01-05 09:00,9,1095.0,3087.69959252021,0.0,6792.952978986507
2025-01-05 10:00,10,3906.0,6089.792548308725,1813.8220033869252,10122.336826901292
2025-01-05 11:00,11,5778.0,8359.451826971637,4323.187557375923,12350.880604755077
2025-01-05 12:00,12,6939.0,9418.34712401758,5221.109174942257,13610.655139914927
2025-01-05 13:00,13,6809.0,9510.27386203653,5406.3557643895965,13700.921283907748
2025-01-05 14:00,14,5674.0,9194.432396952232,5100.411653290182,13062.343962640252
2025-01-05 15:00,15,4148.0,8750.474921512567,4550.842365603399,13150.30036440074
2025-01-05 16:00,16,2171.0,7964.999370740594,3938.368152245773,12394.471556546372
2025-01-05 17:00,17,754.0,6471.99785990428,2380.2682596924765,10461.832077342193
2025-01-05 18:00,18,79.0,4274.029736228262,172.96923973637266,8375.224081396569
2025-01-05 19:00,19,18.0,1908.2920707676117,0.0,6081.533897912165
2025-01-05 20:00,20,19.0,87.42655054817806,0.0,4236.829331979084
2025-01-05 21:00,21,19.0,0.0,0.0,3186.2016180852
2025-01-05 22:00,22,20.0,0.0,0.0,2806.592881648478
2025-01-05 23:00,23,20.0,0.0,0.0,2946.7218040487005
2025-01-06 00:00,0,20.0,0.0,0.0,2964.7157744542096
2025-01-06 01:00,1,20.0,0.0,0.0,2857.881095346247
2025-01-06 02:00,2,19.0,0.0,0.0,2434.9691620644417
2025-01-06 03:00,3,20.0,0.0,0.0,2886.1270759851145
2025-01-06 04:00,4,19.0,0.0,0.0,2997.2281999101124
2025-01-06 05:00,5,19.0,0.0,0.0,2623.2376005081246
2025-01-06 06:00,6,19.0,0.0,0.0,2421.742762520614
2025-01-06 07:00,7,19.0,0.0,0.0,2810.639432026479
2025-01-06 08:00,8,44.0,344.6777589409576,0.0,4080.278039801502
2025-01-06 09:00,9,867.0,3083.474609521367,0.0,7068.432781938649
2025-01-06 10:00,10,4036.0,6087.387840422725,2008.671712611567,9928.198872235387
2025-01-06 11:00,11,6536.0,8358.649041301825,4164.860498227643,12440.27354721035
2025-01-06 12:00,12,8109.0,9418.919002415823,5444.154965032943,13519.479612842384
2025-01-06 13:00,13,8938.0,9511.98576919411,5526.497991700683,13750.318790299643
2025-01-06 14:00,14,8570.0,9197.043883932789,4811.4982544222885,13219.807476952463
2025-01-06 15:00,15,8636.0,8753.741316387735,4704.588593388403,13286.399364474375
2025-01-06 16:00,16,7196.0,7968.673388530408,3898.9358772766363,11861.796589382748
2025-01-06 17:00,17,3655.0,6475.831224606984,2021.6714377752699,10330.307815031825
2025-01-06 18:00,18,349.0,4277.774807415935,144.56077295576128,8291.846329760372
2025-01-06 19:00,19,23.0,1911.703466663576,0.0,5992.12814380834
2025-01-06 20:00,20,20.0,90.2627596844959,0.0,4144.030197135494
2025-01-06 21:00,21,20.0,0.0,0.0,3542.306966662548
2025-01-06 22:00,22,20.0,0.0,0.0,2836.4338822555305
2025-01-06 23:00,23,20.0,0.0,0.0,2931.9919153725823
2025-01-07 00:00,0,20.0,0.0,0.0,2846.3523960806347
2025-01-07 01:00,1,16.0,0.0,0.0,2962.5103486162784
2025-01-07 02:00,2,19.0,0.0,0.0,2680.9489753900625
2025-01-07 03:00,3,18.0,0.0,0.0,2951.3659484135414
2025-01-07 04:00,4,17.0,0.0,0.0,2904.1299272758088
2025-01-07 05:00,5,16.0,0.0,0.0,2777.7574305837625
2025-01-07 06:00,6,18.0,0.0,0.0,2553.4303523439153
2025-01-07 07:00,7,19.0,0.0,0.0,2590.8535768806855
2025-01-07 08:00,8,77.0,325.24356623038966,0.0,4066.6264722846345
2025-01-07 09:00,9,2258.0,3061.3456887052644,0.0,7048.078688579571
2025-01-07 10:00,10,7566.0,6062.52259164078,1987.1384668694518,10227.166000600939
2025-01-07 11:00,11,10635.0,8331.027710897406,4614.613688956066,12575.962321096345
2025-01-07 12:00,12,11559.0,9388.544176117248,5339.483485527929,13569.535181779866
2025-01-07 13:00,13,11542.0,9478.882747696662,5451.143823933589,13634.434127036084
2025-01-07 14:00,14,10784.0,9161.260937057728,5117.619759759207,12985.842460132524
2025-01-07 15:00,15,9097.0,8715.349813208037,4573.53406040358,12686.316672149
2025-01-07 16:00,16,6426.0,7927.767800768879,3621.275017280244,11857.430798632939
2025-01-07 17:00,17,2403.0,6432.52900140734,2295.4093554856795,10577.116535863448
2025-01-07 18:00,18,260.0,4232.216119895801,0.0,8439.169750458914
2025-01-07 19:00,19,80.0,1864.0508221164782,0.0,5852.356704303841
2025-01-07 20:00,20,72.0,40.700485467389626,0.0,4122.278333800669
2025-01-07 21:00,21,62.0,0.0,0.0,3147.4669697635613
2025-01-07 22:00,22,44.0,0.0,0.0,2772.308196023462
2025-01-07 23:00,23,29.0,0.0,0.0,2731.7080997423245
2025-01-08 00:00,0,28.0,0.0,0.0,2586.239339722307
2025-01-08 01:00,1,28.0,0.0,0.0,2480.5332202511436
2025-01-08 02:00,2,28.0,0.0,0.0,2860.367681468736
2025-01-08 03:00,3,28.0,0.0,0.0,3068.3900293439838
2025-01-08 04:00,4,28.0,0.0,0.0,2775.5887372446505
2025-01-08 05:00,5,28.0,0.0,0.0,2518.3466279283716
2025-01-08 06:00,6,28.0,0.0,0.0,2279.537261238159
2025-01-08 07:00,7,28.0,0.0,0.0,2630.835476128271
2025-01-08 08:00,8,92.0,273.83103274937093,0.0,4399.119792277562
2025-01-08 09:00,9,1958.0,3011.9450989890074,0.0,6877.936910939071
2025-01-08 10:00,10,6172.0,6015.502217918214,1696.7178023816045,10187.419490813696
2025-01-08 11:00,11,8300.0,8286.756342178556,4427.147790213708,12291.501337862366
2025-01-08 12:00,12,8863.0,9347.389082231706,5060.220172707773,13410.275084651938
2025-01-08 13:00,13,8920.0,9441.207618829158,5371.824159177315,13549.525545773626
2025-01-08 14:00,14,8129.0,9127.423810596309,5328.266858945681,13061.117976284739
2025-01-08 15:00,15,6861.0,8685.70099976405,4878.140430103024,12643.428251839465
2025-01-08 16:00,16,4560.0,7902.647821737224,3651.911137263907,11981.935964627131
2025-01-08 17:00,17,1647.0,6412.26655033184,2276.7982348526198,10460.646475641646
2025-01-08 18:00,18,175.0,4217.126059905241,173.30025091600083,8477.244387026556
2025-01-08 19:00,19,39.0,1854.432232314583,0.0,5789.0049450298675
2025-01-08 20:00,20,32.0,36.83476830838481,0.0,4078.4686322114685
2025-01-08 21:00,21,32.0,0.0,0.0,3201.036557925357
2025-01-08 22:00,22,32.0,0.0,0.0,2924.2222229074914
2025-01-08 23:00,23,32.0,0.0,0.0,3177.116591610516
2025-01-09 00:00,0,32.0,0.0,0.0,2724.6165755005727
2025-01-09 01:00,1,32.0,0.0,0.0,2595.2128779771347
2025-01-09 02:00,2,32.0,0.0,0.0,2793.718109557901
2025-01-09 03:00,3,33.0,0.0,0.0,2943.722815077668
2025-01-09 04:00,4,36.0,0.0,0.0,3086.808793332215
2025-01-09 05:00,5,36.0,0.0,0.0,2495.3377059041854
2025-01-09 06:00,6,36.0,0.0,0.0,2453.7561734211404
2025-01-09 07:00,7,42.0,0.0,0.0,2966.4405745473678
2025-01-09 08:00,8,82.0,352.3428890484929,0.0,4292.507595896204
2025-01-09 09:00,9,1481.0,3097.5805204041344,0.0,7371.073775848952
2025-01-09 10:00,10,5516.0,6108.157147139587,2130.684249878989,10277.801211378168
2025-01-09 11:00,11,8125.0,8386.295190715955,4370.978162480255,12565.646346870533
2025-01-09 12:00,12,9699.0,9453.645111930822,5612.059813786378,13292.511527117853
2025-01-09 13:00,13,10896.0,9553.983505120486,5686.743909029267,13579.238659075208
2025-01-09 14:00,14,11049.0,9246.492383791454,5040.124258605436,13223.270470674282
2025-01-09 15:00,15,10680.0,8810.806162707158,4593.680946642438,12721.219420060163
2025-01-09 16:00,16,8762.0,8033.505638758623,3983.4857241792474,12068.469245191694
2025-01-09 17:00,17,3870.0,6548.566501931517,2426.6658817796056,10761.201365572506
2025-01-09 18:00,18,397.0,4358.532457362016,155.4852757986634,8344.119138802716
2025-01-09 19:00,19,41.0,2000.5857832472643,0.0,6254.773498398205
2025-01-09 20:00,20,40.0,187.35428526631677,0.0,4104.52812225049
2025-01-09 21:00,21,40.0,0.0,0.0,2999.320567731767
2025-01-09 22:00,22,21.0,0.0,0.0,2941.6196165486026
2025-01-09 23:00,23,8.0,0.0,0.0,3068.0965262305267
2025-01-10 00:00,0,8.0,0.0,0.0,3052.3353408347825
2025-01-10 01:00,1,8.0,0.0,0.0,2928.9748548804673
2025-01-10 02:00,2,8.0,0.0,0.0,3014.6988706185116
2025-01-10 03:00,3,8.0,0.0,0.0,3366.9011289813484
2025-01-10 04:00,4,8.0,0.0,0.0,3106.1963485994593
2025-01-10 05:00,5,8.0,0.0,0.0,2642.6323687140525
2025-01-10 06:00,6,8.0,0.0,0.0,2367.760493729531
2025-01-10 07:00,7,8.0,0.0,0.0,2772.534537270667
2025-01-10 08:00,8,49.0,520.3691852487664,0.0,4182.833461658083
2025-01-10 09:00,9,1370.0,3263.991173287872,0.0,7322.692097905178
2025-01-10 10:00,10,4661.0,6272.495578698428,1876.0963178000195,10256.853146342248
2025-01-10 11:00,11,7143.0,8548.117287272738,4573.537978358104,12614.702748298674
2025-01-10 12:00,12,8618.0,9612.521448452268,5656.906641257882,13768.054092763861
2025-01-10 13:00,13,9406.0,9709.50147835616,5617.542669349596,14044.784197568264
2025-01-10 14:00,14,9276.0,9398.258242863458,5332.359995290366,13391.163994539238
2025-01-10 15:00,15,8687.0,8958.446923582906,5089.347738668234,13303.630012984553
2025-01-10 16:00,16,6523.0,8176.670872001586,4148.4709533553205,12320.775920585202
2025-01-10 17:00,17,2673.0,6686.929983214363,2553.8256187084435,10511.405246840795
2025-01-10 18:00,18,230.0,4491.793670584081,115.63108119034482,8672.989366924348
2025-01-10 19:00,19,36.0,2128.471268890231,0.0,6093.778179849263
2025-01-10 20:00,20,36.0,309.6188256974674,0.0,4340.920107982976
2025-01-10 21:00,21,36.0,0.0,0.0,3348.9737393761193
2025-01-10 22:00,22,36.0,0.0,0.0,3106.8515140604545
2025-01-10 23:00,23,36.0,0.0,0.0,3542.706180684255
2025-01-11 00:00,0,34.0,0.0,0.0,3164.468853817237
2025-01-11 01:00,1,8.0,0.0,0.0,2664.3820478540297
2025-01-11 02:00,2,4.0,0.0,0.0,3178.444136213685
2025-01-11 03:00,3,4.0,0.0,0.0,3116.9202405766437
2025-01-11 04:00,4,4.0,0.0,0.0,3050.2809825504673
2025-01-11 05:00,5,4.0,0.0,0.0,3106.79231759211
2025-01-11 06:00,6,4.0,0.0,0.0,2464.58350916365
2025-01-11 07:00,7,4.0,0.0,0.0,2891.8170445202113
2025-01-11 08:00,8,32.0,567.188481300449,0.0,4575.164595836176
2025-01-11 09:00,9,681.0,3304.7909119559495,0.0,7479.7840231865775
2025-01-11 10:00,10,3374.0,6307.4517298483925,1898.508661327596,10696.905293709095
2025-01-11 11:00,11,6226.0,8577.430878653915,4443.125591876792,12549.006839662956
2025-01-11 12:00,12,8450.0,9636.4170925839,5450.63644655996,13614.44361883258
2025-01-11 13:00,13,9567.0,9728.225784700455,5531.349182483927,13762.422024800382
2025-01-11 14:00,14,9184.0,9412.078126008177,5346.081733275883,13463.174145799618
2025-01-11 15:00,15,8575.0,8967.64781953517,5058.623437387825,13136.827487381459
2025-01-11 16:00,16,6959.0,8181.5548739588885,4392.643081216927,12161.63514129855
2025-01-11 17:00,17,3351.0,6687.813909480658,2417.6819160081736,10492.181406255782
2025-01-11 18:00,18,310.0,4489.007076922332,538.0270270905245,8401.41558571773
2025-01-11 19:00,19,28.0,2122.354418020154,0.0,5983.072193300016
