Timestamp,Hour,Actual_Generation_MWh,Forecast_Generation_MWh,Absolute_Error_MWh,Percentage_Error
1/1/2025 0:00,0,4,76.6687,72.66870117,1816.717529
1/1/2025 1:00,1,4,61.756878,57.7568779,1443.921947
1/1/2025 2:00,2,4,50.811447,46.81144714,1170.286179
1/1/2025 3:00,3,4,50.811447,46.81144714,1170.286179
1/1/2025 4:00,4,4,50.811447,46.81144714,1170.286179
1/1/2025 5:00,5,4,57.73107,53.73107147,1343.276787
1/1/2025 6:00,6,4,57.73107,53.73107147,1343.276787
1/1/2025 7:00,7,4,57.950706,53.95070648,1348.767662
1/1/2025 8:00,8,42,64.78825,22.78825378,54.25774711
1/1/2025 9:00,9,1786,848.3947,937.6052856,52.4974964
1/1/2025 10:00,10,7078,3158.2095,3919.790527,55.37991703
1/1/2025 11:00,11,10532,5719.4287,4812.571289,45.69475208
1/1/2025 12:00,12,11730,6564.0195,5165.980469,44.04075421
1/1/2025 13:00,13,11706,7142.6685,4563.331543,38.9828425
1/1/2025 14:00,14,11349,7161.256,4187.744141,36.89967522
1/1/2025 15:00,15,10753,7101.617,3651.382813,33.95687541
1/1/2025 16:00,16,9010,5577.623,3432.376953,38.09519371
1/1/2025 17:00,17,3992,2433.796,1558.204102,39.03316888
1/1/2025 18:00,18,554,331.07288,222.927124,40.23955307
1/1/2025 19:00,19,217,100.64488,116.3551178,53.61986995
1/1/2025 20:00,20,143,74.57865,68.42134857,47.8470969
1/1/2025 21:00,21,81,63.38079,17.61920929,21.75211023
1/1/2025 22:00,22,76,57.09286,18.90713882,24.87781424
1/1/2025 23:00,23,76,50.71273,25.28726959,33.27272315
1/2/2025 0:00,0,24,55.96779,31.9677887,133.1991196
1/2/2025 1:00,1,4,51.129623,47.12962341,1178.240585
1/2/2025 2:00,2,4,44.54061,40.54061127,1013.515282
1/2/2025 3:00,3,4,44.54061,40.54061127,1013.515282
1/2/2025 4:00,4,7,44.54061,37.54061127,536.2944467
