,Month,MAE,RMSE,MAPE,R²,nRMSE
0,Jan,1502.1858558888637,2463.0653486252845,387.46508654500167,0.7287187984422543,12.264551499916768
1,Feb,1806.3159482882152,2868.528050250275,385.0275946659618,0.7989757894754984,14.28350653419979
2,Mar,1511.1644999555062,2206.290436274686,439.32108699343536,0.8214001797868058,10.985970264478489
3,Apr,2459.4312877462507,3113.0875167732925,780.3641304444176,0.7678718548295337,15.501262357705562
4,May,2873.6708079155433,3560.4360647830676,415.5486540174918,0.7199746490970097,17.728783161626207
5,Jun,4230.54520624581,5076.623938278251,436.1559810703687,0.6405414619890835,25.278466838679126
6,Jul,4402.33801133508,5118.618898298555,227.4225127688132,0.6401427222110814,25.487575927154353
7,Aug,4057.6332709557423,4744.555884846664,413.5690240943543,0.6885401572459752,23.624972039987775
8,Sep,3539.5438187802183,4746.315211435296,555.2163253178226,0.6692527856295203,23.6337324050197
9,Oct,2723.0229955883447,3881.964557661285,290.8904272523304,0.7355857926430791,19.329797426958816
