,Month,MAE,RMSE,MAPE,R²,nRMSE
0,Jan,1656.750230714839,3266.871297199622,96.1003281589468,0.5227654451414077,16.267011060208848
1,Feb,1370.0929619471233,2483.121632261623,61.34334535412892,0.8493649104765888,12.364419464724156
2,Mar,1351.0379973702925,2355.582446770268,173.13957146473703,0.7964119553135963,11.729352713616965
3,Apr,1461.6518349753485,2357.200579609844,136.3266043006404,0.8669122080886382,11.737410020564086
4,May,2349.77727195268,3755.393413263332,65.77075231605068,0.6884685850996664,18.699550925485152
5,Jun,2874.412737803989,4247.625678124126,51.11521135697363,0.7483532695515647,21.150565051308217
6,Jul,2209.6849150093653,3317.8265147199127,24.10204817571643,0.848806874206314,16.52073672356401
7,Aug,1773.972736003151,2762.3890002383027,32.4357913738595,0.8944202573408747,13.754999304072655
8,Sep,2576.864387642013,4094.0900163830056,87.15434344271135,0.7539078189399733,20.3860518273498
9,Oct,2018.956640508757,3497.95802794993,39.58485160600825,0.7853104810308449,17.417680940655337
