MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|ES,Fossil Gas,8608.0
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|ES,Fossil Gas,8848.0
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|ES,Fossil Gas,8716.0
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|ES,Fossil Gas,8444.0
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|ES,Fossil Gas,8276.0
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|ES,Fossil Gas,8384.0
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|ES,Fossil Gas,8356.0
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|ES,Fossil Gas,8168.0
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|ES,Fossil Gas,7848.0
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|ES,Fossil Gas,7892.0
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|ES,Fossil Gas,7476.0
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|ES,Fossil Gas,7120.0
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|ES,Fossil Gas,6884.0
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|ES,Fossil Gas,7040.0
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|ES,Fossil Gas,6876.0
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|ES,Fossil Gas,6724.0
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|ES,Fossil Gas,6536.0
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|ES,Fossil Gas,6596.0
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|ES,Fossil Gas,6428.0
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|ES,Fossil Gas,6300.0
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|ES,Fossil Gas,6156.0
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|ES,Fossil Gas,6172.0
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|ES,Fossil Gas,6272.0
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|ES,Fossil Gas,6400.0
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|ES,Fossil Gas,6372.0
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|ES,Fossil Gas,6268.0
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|ES,Fossil Gas,6212.0
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|ES,Fossil Gas,6216.0
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|ES,Fossil Gas,6316.0
01/01/2025 07:15:00 - 01/01/2025 07:30:00,BZN|ES,Fossil Gas,6576.0
01/01/2025 07:30:00 - 01/01/2025 07:45:00,BZN|ES,Fossil Gas,6476.0
01/01/2025 07:45:00 - 01/01/2025 08:00:00,BZN|ES,Fossil Gas,6460.0
01/01/2025 08:00:00 - 01/01/2025 08:15:00,BZN|ES,Fossil Gas,6504.0
01/01/2025 08:15:00 - 01/01/2025 08:30:00,BZN|ES,Fossil Gas,6432.0
01/01/2025 08:30:00 - 01/01/2025 08:45:00,BZN|ES,Fossil Gas,6392.0
01/01/2025 08:45:00 - 01/01/2025 09:00:00,BZN|ES,Fossil Gas,6184.0
01/01/2025 09:00:00 - 01/01/2025 09:15:00,BZN|ES,Fossil Gas,6168.0
01/01/2025 09:15:00 - 01/01/2025 09:30:00,BZN|ES,Fossil Gas,6548.0
01/01/2025 09:30:00 - 01/01/2025 09:45:00,BZN|ES,Fossil Gas,6156.0
01/01/2025 09:45:00 - 01/01/2025 10:00:00,BZN|ES,Fossil Gas,5448.0
01/01/2025 10:00:00 - 01/01/2025 10:15:00,BZN|ES,Fossil Gas,4920.0
01/01/2025 10:15:00 - 01/01/2025 10:30:00,BZN|ES,Fossil Gas,4400.0
01/01/2025 10:30:00 - 01/01/2025 10:45:00,BZN|ES,Fossil Gas,3760.0
01/01/2025 10:45:00 - 01/01/2025 11:00:00,BZN|ES,Fossil Gas,3408.0
01/01/2025 11:00:00 - 01/01/2025 11:15:00,BZN|ES,Fossil Gas,3228.0
01/01/2025 11:15:00 - 01/01/2025 11:30:00,BZN|ES,Fossil Gas,2920.0
01/01/2025 11:30:00 - 01/01/2025 11:45:00,BZN|ES,Fossil Gas,2552.0
01/01/2025 11:45:00 - 01/01/2025 12:00:00,BZN|ES,Fossil Gas,2576.0
01/01/2025 12:00:00 - 01/01/2025 12:15:00,BZN|ES,Fossil Gas,2632.0
01/01/2025 12:15:00 - 01/01/2025 12:30:00,BZN|ES,Fossil Gas,2644.0
01/01/2025 12:30:00 - 01/01/2025 12:45:00,BZN|ES,Fossil Gas,2572.0
01/01/2025 12:45:00 - 01/01/2025 13:00:00,BZN|ES,Fossil Gas,2772.0
01/01/2025 13:00:00 - 01/01/2025 13:15:00,BZN|ES,Fossil Gas,3064.0
01/01/2025 13:15:00 - 01/01/2025 13:30:00,BZN|ES,Fossil Gas,3152.0
01/01/2025 13:30:00 - 01/01/2025 13:45:00,BZN|ES,Fossil Gas,3132.0
01/01/2025 13:45:00 - 01/01/2025 14:00:00,BZN|ES,Fossil Gas,3276.0
01/01/2025 14:00:00 - 01/01/2025 14:15:00,BZN|ES,Fossil Gas,3300.0
01/01/2025 14:15:00 - 01/01/2025 14:30:00,BZN|ES,Fossil Gas,3452.0
01/01/2025 14:30:00 - 01/01/2025 14:45:00,BZN|ES,Fossil Gas,3360.0
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|ES,Fossil Gas,3252.0
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|ES,Fossil Gas,3200.0
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|ES,Fossil Gas,3192.0
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|ES,Fossil Gas,3144.0
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|ES,Fossil Gas,2948.0
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|ES,Fossil Gas,3224.0
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|ES,Fossil Gas,3176.0
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|ES,Fossil Gas,3688.0
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|ES,Fossil Gas,4148.0
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|ES,Fossil Gas,4860.0
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|ES,Fossil Gas,5116.0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|ES,Fossil Gas,5616.0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|ES,Fossil Gas,6468.0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|ES,Fossil Gas,7152.0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|ES,Fossil Gas,6688.0
