MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|ES,Hydro Water Reservoir,1748.0
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|ES,Hydro Water Reservoir,1860.0
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|ES,Hydro Water Reservoir,1820.0
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|ES,Hydro Water Reservoir,1748.0
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|ES,Hydro Water Reservoir,1644.0
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|ES,Hydro Water Reservoir,1528.0
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|ES,Hydro Water Reservoir,1432.0
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|ES,Hydro Water Reservoir,1440.0
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|ES,Hydro Water Reservoir,1408.0
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|ES,Hydro Water Reservoir,1396.0
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|ES,Hydro Water Reservoir,1380.0
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|ES,Hydro Water Reservoir,1340.0
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|ES,Hydro Water Reservoir,1372.0
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|ES,Hydro Water Reservoir,1160.0
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|ES,Hydro Water Reservoir,1028.0
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|ES,Hydro Water Reservoir,988.0
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|ES,Hydro Water Reservoir,976.0
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|ES,Hydro Water Reservoir,1080.0
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|ES,Hydro Water Reservoir,1124.0
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|ES,Hydro Water Reservoir,1072.0
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|ES,Hydro Water Reservoir,1024.0
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|ES,Hydro Water Reservoir,856.0
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|ES,Hydro Water Reservoir,868.0
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|ES,Hydro Water Reservoir,896.0
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|ES,Hydro Water Reservoir,896.0
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|ES,Hydro Water Reservoir,816.0
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|ES,Hydro Water Reservoir,832.0
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|ES,Hydro Water Reservoir,816.0
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|ES,Hydro Water Reservoir,820.0
01/01/2025 07:15:00 - 01/01/2025 07:30:00,BZN|ES,Hydro Water Reservoir,888.0
01/01/2025 07:30:00 - 01/01/2025 07:45:00,BZN|ES,Hydro Water Reservoir,856.0
01/01/2025 07:45:00 - 01/01/2025 08:00:00,BZN|ES,Hydro Water Reservoir,864.0
01/01/2025 08:00:00 - 01/01/2025 08:15:00,BZN|ES,Hydro Water Reservoir,872.0
01/01/2025 08:15:00 - 01/01/2025 08:30:00,BZN|ES,Hydro Water Reservoir,796.0
01/01/2025 08:30:00 - 01/01/2025 08:45:00,BZN|ES,Hydro Water Reservoir,760.0
01/01/2025 08:45:00 - 01/01/2025 09:00:00,BZN|ES,Hydro Water Reservoir,856.0
01/01/2025 09:00:00 - 01/01/2025 09:15:00,BZN|ES,Hydro Water Reservoir,1056.0
01/01/2025 09:15:00 - 01/01/2025 09:30:00,BZN|ES,Hydro Water Reservoir,1592.0
01/01/2025 09:30:00 - 01/01/2025 09:45:00,BZN|ES,Hydro Water Reservoir,1356.0
01/01/2025 09:45:00 - 01/01/2025 10:00:00,BZN|ES,Hydro Water Reservoir,1212.0
01/01/2025 10:00:00 - 01/01/2025 10:15:00,BZN|ES,Hydro Water Reservoir,1036.0
01/01/2025 10:15:00 - 01/01/2025 10:30:00,BZN|ES,Hydro Water Reservoir,932.0
01/01/2025 10:30:00 - 01/01/2025 10:45:00,BZN|ES,Hydro Water Reservoir,964.0
01/01/2025 10:45:00 - 01/01/2025 11:00:00,BZN|ES,Hydro Water Reservoir,884.0
01/01/2025 11:00:00 - 01/01/2025 11:15:00,BZN|ES,Hydro Water Reservoir,872.0
01/01/2025 11:15:00 - 01/01/2025 11:30:00,BZN|ES,Hydro Water Reservoir,740.0
01/01/2025 11:30:00 - 01/01/2025 11:45:00,BZN|ES,Hydro Water Reservoir,704.0
01/01/2025 11:45:00 - 01/01/2025 12:00:00,BZN|ES,Hydro Water Reservoir,736.0
01/01/2025 12:00:00 - 01/01/2025 12:15:00,BZN|ES,Hydro Water Reservoir,712.0
01/01/2025 12:15:00 - 01/01/2025 12:30:00,BZN|ES,Hydro Water Reservoir,588.0
01/01/2025 12:30:00 - 01/01/2025 12:45:00,BZN|ES,Hydro Water Reservoir,576.0
01/01/2025 12:45:00 - 01/01/2025 13:00:00,BZN|ES,Hydro Water Reservoir,584.0
01/01/2025 13:00:00 - 01/01/2025 13:15:00,BZN|ES,Hydro Water Reservoir,564.0
01/01/2025 13:15:00 - 01/01/2025 13:30:00,BZN|ES,Hydro Water Reservoir,568.0
01/01/2025 13:30:00 - 01/01/2025 13:45:00,BZN|ES,Hydro Water Reservoir,584.0
01/01/2025 13:45:00 - 01/01/2025 14:00:00,BZN|ES,Hydro Water Reservoir,596.0
01/01/2025 14:00:00 - 01/01/2025 14:15:00,BZN|ES,Hydro Water Reservoir,636.0
01/01/2025 14:15:00 - 01/01/2025 14:30:00,BZN|ES,Hydro Water Reservoir,748.0
01/01/2025 14:30:00 - 01/01/2025 14:45:00,BZN|ES,Hydro Water Reservoir,832.0
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|ES,Hydro Water Reservoir,932.0
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|ES,Hydro Water Reservoir,976.0
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|ES,Hydro Water Reservoir,884.0
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|ES,Hydro Water Reservoir,888.0
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|ES,Hydro Water Reservoir,880.0
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|ES,Hydro Water Reservoir,932.0
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|ES,Hydro Water Reservoir,1180.0
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|ES,Hydro Water Reservoir,1468.0
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|ES,Hydro Water Reservoir,1648.0
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|ES,Hydro Water Reservoir,1936.0
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|ES,Hydro Water Reservoir,1800.0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|ES,Hydro Water Reservoir,2088.0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|ES,Hydro Water Reservoir,2364.0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|ES,Hydro Water Reservoir,2604.0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|ES,Hydro Water Reservoir,2520.0
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|ES,Hydro Water Reservoir,2724.0
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|ES,Hydro Water Reservoir,2784.0
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|ES,Hydro Water Reservoir,2876.0
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|ES,Hydro Water Reservoir,2936.0
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|ES,Hydro Water Reservoir,2972.0
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|ES,Hydro Water Reservoir,3044.0
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|ES,Hydro Water Reservoir,3052.0
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|ES,Hydro Water Reservoir,3248.0
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|ES,Hydro Water Reservoir,3404.0
01/01/2025 20:45:00 - 01/01/2025 21:00:00,BZN|ES,Hydro Water Reservoir,3484.0
01/01/2025 21:00:00 - 01/01/2025 21:15:00,BZN|ES,Hydro Water Reservoir,3512.0
01/01/2025 21:15:00 - 01/01/2025 21:30:00,BZN|ES,Hydro Water Reservoir,3788.0
01/01/2025 21:30:00 - 01/01/2025 21:45:00,BZN|ES,Hydro Water Reservoir,3804.0
01/01/2025 21:45:00 - 01/01/2025 22:00:00,BZN|ES,Hydro Water Reservoir,3780.0
01/01/2025 22:00:00 - 01/01/2025 22:15:00,BZN|ES,Hydro Water Reservoir,3696.0
01/01/2025 22:15:00 - 01/01/2025 22:30:00,BZN|ES,Hydro Water Reservoir,3048.0
01/01/2025 22:30:00 - 01/01/2025 22:45:00,BZN|ES,Hydro Water Reservoir,2656.0
01/01/2025 22:45:00 - 01/01/2025 23:00:00,BZN|ES,Hydro Water Reservoir,2472.0
01/01/2025 23:00:00 - 01/01/2025 23:15:00,BZN|ES,Hydro Water Reservoir,2300.0
01/01/2025 23:15:00 - 01/01/2025 23:30:00,BZN|ES,Hydro Water Reservoir,2140.0
01/01/2025 23:30:00 - 01/01/2025 23:45:00,BZN|ES,Hydro Water Reservoir,1932.0
01/01/2025 23:45:00 - 02/01/2025 00:00:00,BZN|ES,Hydro Water Reservoir,1712.0
02/01/2025 00:00:00 - 02/01/2025 00:15:00,BZN|ES,Hydro Water Reservoir,1628.0
02/01/2025 00:15:00 - 02/01/2025 00:30:00,BZN|ES,Hydro Water Reservoir,1556.0
02/01/2025 00:30:00 - 02/01/2025 00:45:00,BZN|ES,Hydro Water Reservoir,1236.0
02/01/2025 00:45:00 - 02/01/2025 01:00:00,BZN|ES,Hydro Water Reservoir,1260.0
02/01/2025 01:00:00 - 02/01/2025 01:15:00,BZN|ES,Hydro Water Reservoir,1272.0
02/01/2025 01:15:00 - 02/01/2025 01:30:00,BZN|ES,Hydro Water Reservoir,1060.0
02/01/2025 01:30:00 - 02/01/2025 01:45:00,BZN|ES,Hydro Water Reservoir,888.0
02/01/2025 01:45:00 - 02/01/2025 02:00:00,BZN|ES,Hydro Water Reservoir,844.0
02/01/2025 02:00:00 - 02/01/2025 02:15:00,BZN|ES,Hydro Water Reservoir,844.0
02/01/2025 02:15:00 - 02/01/2025 02:30:00,BZN|ES,Hydro Water Reservoir,816.0
02/01/2025 02:30:00 - 02/01/2025 02:45:00,BZN|ES,Hydro Water Reservoir,812.0
02/01/2025 02:45:00 - 02/01/2025 03:00:00,BZN|ES,Hydro Water Reservoir,824.0
02/01/2025 03:00:00 - 02/01/2025 03:15:00,BZN|ES,Hydro Water Reservoir,776.0
02/01/2025 03:15:00 - 02/01/2025 03:30:00,BZN|ES,Hydro Water Reservoir,820.0
02/01/2025 03:30:00 - 02/01/2025 03:45:00,BZN|ES,Hydro Water Reservoir,808.0
02/01/2025 03:45:00 - 02/01/2025 04:00:00,BZN|ES,Hydro Water Reservoir,756.0
02/01/2025 04:00:00 - 02/01/2025 04:15:00,BZN|ES,Hydro Water Reservoir,752.0
02/01/2025 04:15:00 - 02/01/2025 04:30:00,BZN|ES,Hydro Water Reservoir,788.0
02/01/2025 04:30:00 - 02/01/2025 04:45:00,BZN|ES,Hydro Water Reservoir,764.0
02/01/2025 04:45:00 - 02/01/2025 05:00:00,BZN|ES,Hydro Water Reservoir,760.0
02/01/2025 05:00:00 - 02/01/2025 05:15:00,BZN|ES,Hydro Water Reservoir,764.0
02/01/2025 05:15:00 - 02/01/2025 05:30:00,BZN|ES,Hydro Water Reservoir,828.0
02/01/2025 05:30:00 - 02/01/2025 05:45:00,BZN|ES,Hydro Water Reservoir,824.0
02/01/2025 05:45:00 - 02/01/2025 06:00:00,BZN|ES,Hydro Water Reservoir,872.0
