MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|ES,Solar,4.0
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|ES,Solar,4.0
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|ES,Solar,4.0
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|ES,Solar,4.0
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|ES,Solar,4.0
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|ES,Solar,4.0
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|ES,Solar,4.0
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|ES,Solar,4.0
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|ES,Solar,4.0
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|ES,Solar,4.0
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|ES,Solar,4.0
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|ES,Solar,4.0
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|ES,Solar,4.0
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|ES,Solar,4.0
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|ES,Solar,4.0
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|ES,Solar,4.0
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|ES,Solar,4.0
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|ES,Solar,4.0
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|ES,Solar,4.0
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|ES,Solar,4.0
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|ES,Solar,4.0
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|ES,Solar,4.0
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|ES,Solar,4.0
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|ES,Solar,4.0
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|ES,Solar,4.0
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|ES,Solar,4.0
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|ES,Solar,4.0
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|ES,Solar,4.0
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|ES,Solar,4.0
01/01/2025 07:15:00 - 01/01/2025 07:30:00,BZN|ES,Solar,4.0
01/01/2025 07:30:00 - 01/01/2025 07:45:00,BZN|ES,Solar,4.0
01/01/2025 07:45:00 - 01/01/2025 08:00:00,BZN|ES,Solar,4.0
01/01/2025 08:00:00 - 01/01/2025 08:15:00,BZN|ES,Solar,4.0
01/01/2025 08:15:00 - 01/01/2025 08:30:00,BZN|ES,Solar,8.0
01/01/2025 08:30:00 - 01/01/2025 08:45:00,BZN|ES,Solar,20.0
01/01/2025 08:45:00 - 01/01/2025 09:00:00,BZN|ES,Solar,136.0
01/01/2025 09:00:00 - 01/01/2025 09:15:00,BZN|ES,Solar,392.0
01/01/2025 09:15:00 - 01/01/2025 09:30:00,BZN|ES,Solar,1064.0
01/01/2025 09:30:00 - 01/01/2025 09:45:00,BZN|ES,Solar,2156.0
01/01/2025 09:45:00 - 01/01/2025 10:00:00,BZN|ES,Solar,3532.0
01/01/2025 10:00:00 - 01/01/2025 10:15:00,BZN|ES,Solar,4872.0
01/01/2025 10:15:00 - 01/01/2025 10:30:00,BZN|ES,Solar,6420.0
01/01/2025 10:30:00 - 01/01/2025 10:45:00,BZN|ES,Solar,7928.0
01/01/2025 10:45:00 - 01/01/2025 11:00:00,BZN|ES,Solar,9092.0
01/01/2025 11:00:00 - 01/01/2025 11:15:00,BZN|ES,Solar,9608.0
01/01/2025 11:15:00 - 01/01/2025 11:30:00,BZN|ES,Solar,10376.0
01/01/2025 11:30:00 - 01/01/2025 11:45:00,BZN|ES,Solar,10964.0
01/01/2025 11:45:00 - 01/01/2025 12:00:00,BZN|ES,Solar,11180.0
01/01/2025 12:00:00 - 01/01/2025 12:15:00,BZN|ES,Solar,11420.0
01/01/2025 12:15:00 - 01/01/2025 12:30:00,BZN|ES,Solar,11720.0
01/01/2025 12:30:00 - 01/01/2025 12:45:00,BZN|ES,Solar,11900.0
01/01/2025 12:45:00 - 01/01/2025 13:00:00,BZN|ES,Solar,11880.0
01/01/2025 13:00:00 - 01/01/2025 13:15:00,BZN|ES,Solar,11780.0
01/01/2025 13:15:00 - 01/01/2025 13:30:00,BZN|ES,Solar,11676.0
01/01/2025 13:30:00 - 01/01/2025 13:45:00,BZN|ES,Solar,11712.0
01/01/2025 13:45:00 - 01/01/2025 14:00:00,BZN|ES,Solar,11656.0
01/01/2025 14:00:00 - 01/01/2025 14:15:00,BZN|ES,Solar,11440.0
01/01/2025 14:15:00 - 01/01/2025 14:30:00,BZN|ES,Solar,11436.0
01/01/2025 14:30:00 - 01/01/2025 14:45:00,BZN|ES,Solar,11308.0
01/01/2025 14:45:00 - 01/01/2025 15:00:00,BZN|ES,Solar,11212.0
01/01/2025 15:00:00 - 01/01/2025 15:15:00,BZN|ES,Solar,11048.0
01/01/2025 15:15:00 - 01/01/2025 15:30:00,BZN|ES,Solar,10732.0
01/01/2025 15:30:00 - 01/01/2025 15:45:00,BZN|ES,Solar,10696.0
01/01/2025 15:45:00 - 01/01/2025 16:00:00,BZN|ES,Solar,10536.0
01/01/2025 16:00:00 - 01/01/2025 16:15:00,BZN|ES,Solar,10220.0
01/01/2025 16:15:00 - 01/01/2025 16:30:00,BZN|ES,Solar,9468.0
01/01/2025 16:30:00 - 01/01/2025 16:45:00,BZN|ES,Solar,8768.0
01/01/2025 16:45:00 - 01/01/2025 17:00:00,BZN|ES,Solar,7584.0
01/01/2025 17:00:00 - 01/01/2025 17:15:00,BZN|ES,Solar,6232.0
01/01/2025 17:15:00 - 01/01/2025 17:30:00,BZN|ES,Solar,4568.0
01/01/2025 17:30:00 - 01/01/2025 17:45:00,BZN|ES,Solar,3216.0
01/01/2025 17:45:00 - 01/01/2025 18:00:00,BZN|ES,Solar,1952.0
01/01/2025 18:00:00 - 01/01/2025 18:15:00,BZN|ES,Solar,1080.0
01/01/2025 18:15:00 - 01/01/2025 18:30:00,BZN|ES,Solar,548.0
01/01/2025 18:30:00 - 01/01/2025 18:45:00,BZN|ES,Solar,328.0
01/01/2025 18:45:00 - 01/01/2025 19:00:00,BZN|ES,Solar,260.0
01/01/2025 19:00:00 - 01/01/2025 19:15:00,BZN|ES,Solar,232.0
01/01/2025 19:15:00 - 01/01/2025 19:30:00,BZN|ES,Solar,224.0
01/01/2025 19:30:00 - 01/01/2025 19:45:00,BZN|ES,Solar,204.0
01/01/2025 19:45:00 - 01/01/2025 20:00:00,BZN|ES,Solar,208.0
01/01/2025 20:00:00 - 01/01/2025 20:15:00,BZN|ES,Solar,196.0
01/01/2025 20:15:00 - 01/01/2025 20:30:00,BZN|ES,Solar,156.0
01/01/2025 20:30:00 - 01/01/2025 20:45:00,BZN|ES,Solar,124.0
