MTU (CET/CEST),Area,Production Type,Generation(MW)
01/01/2025 00:00:00 - 01/01/2025 00:15:00,BZN|ES,Wind Onshore,2856.0
01/01/2025 00:15:00 - 01/01/2025 00:30:00,BZN|ES,Wind Onshore,2904.0
01/01/2025 00:30:00 - 01/01/2025 00:45:00,BZN|ES,Wind Onshore,2972.0
01/01/2025 00:45:00 - 01/01/2025 01:00:00,BZN|ES,Wind Onshore,3064.0
01/01/2025 01:00:00 - 01/01/2025 01:15:00,BZN|ES,Wind Onshore,3096.0
01/01/2025 01:15:00 - 01/01/2025 01:30:00,BZN|ES,Wind Onshore,3152.0
01/01/2025 01:30:00 - 01/01/2025 01:45:00,BZN|ES,Wind Onshore,3264.0
01/01/2025 01:45:00 - 01/01/2025 02:00:00,BZN|ES,Wind Onshore,3376.0
01/01/2025 02:00:00 - 01/01/2025 02:15:00,BZN|ES,Wind Onshore,3408.0
01/01/2025 02:15:00 - 01/01/2025 02:30:00,BZN|ES,Wind Onshore,3396.0
01/01/2025 02:30:00 - 01/01/2025 02:45:00,BZN|ES,Wind Onshore,3424.0
01/01/2025 02:45:00 - 01/01/2025 03:00:00,BZN|ES,Wind Onshore,3484.0
01/01/2025 03:00:00 - 01/01/2025 03:15:00,BZN|ES,Wind Onshore,3532.0
01/01/2025 03:15:00 - 01/01/2025 03:30:00,BZN|ES,Wind Onshore,3528.0
01/01/2025 03:30:00 - 01/01/2025 03:45:00,BZN|ES,Wind Onshore,3532.0
01/01/2025 03:45:00 - 01/01/2025 04:00:00,BZN|ES,Wind Onshore,3512.0
01/01/2025 04:00:00 - 01/01/2025 04:15:00,BZN|ES,Wind Onshore,3480.0
01/01/2025 04:15:00 - 01/01/2025 04:30:00,BZN|ES,Wind Onshore,3572.0
01/01/2025 04:30:00 - 01/01/2025 04:45:00,BZN|ES,Wind Onshore,3640.0
01/01/2025 04:45:00 - 01/01/2025 05:00:00,BZN|ES,Wind Onshore,3744.0
01/01/2025 05:00:00 - 01/01/2025 05:15:00,BZN|ES,Wind Onshore,3852.0
01/01/2025 05:15:00 - 01/01/2025 05:30:00,BZN|ES,Wind Onshore,3928.0
01/01/2025 05:30:00 - 01/01/2025 05:45:00,BZN|ES,Wind Onshore,3924.0
01/01/2025 05:45:00 - 01/01/2025 06:00:00,BZN|ES,Wind Onshore,3916.0
01/01/2025 06:00:00 - 01/01/2025 06:15:00,BZN|ES,Wind Onshore,3864.0
01/01/2025 06:15:00 - 01/01/2025 06:30:00,BZN|ES,Wind Onshore,3912.0
01/01/2025 06:30:00 - 01/01/2025 06:45:00,BZN|ES,Wind Onshore,3916.0
01/01/2025 06:45:00 - 01/01/2025 07:00:00,BZN|ES,Wind Onshore,3900.0
01/01/2025 07:00:00 - 01/01/2025 07:15:00,BZN|ES,Wind Onshore,3864.0
